Time,Hour,Minute,ep_fridge_an,ep_washer_an,ep_dryer_bn,ep_boosterpump_abn,ep_pump,ep_1f_lighting1_an,ep_1f_lighting2_bn,ep_2f_lighting1_an,ep_2f_lighting2_bn,ep_3f_lighting1_an,ep_3f_lighting2_bn,ep_1f_wifi_an,ep_1f_WaterHeater_abn,ep_kitchen_bn,ep_2f_socket1_an,ep_2f_socket2_bn,l1_airc_abn,l1_lighting1_an,l1_lighting2_bn,l1_InductionCooktop_abn,l1_socket1_an,l1_socket2_bn,l1_socket3_an,l1_socket4_bn,l1_socket5_an,l1_socket6_bn,l2_Dehumidifier_bn,l2_bathroom1_an,l2_bathroom2_bn,l2_airc1_abn,l2_airc2_abn,l2_lighting1_an,l2_lighting2_bn,l2_socket1_an,l2_socket2_bn,l2_socket3_an,l2_socket4_bn,l2_socket5_an,l2_socket6_bn,l2_socket7_an,l3_airc_abn,l3_lighting1_an,l3_lighting2_bn,l3_socket1_an,l3_socket2_bn,l3_socket3_an,l3_socket4_bn,l3_socket5_an,l3_socket6_bn,l3_socket7_an,l3_socket8_bn
00:00,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
00:15,0,15,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
00:30,0,30,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
00:45,0,45,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
01:00,1,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
01:15,1,15,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
01:30,1,30,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
01:45,1,45,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
02:00,2,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
02:15,2,15,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
02:30,2,30,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
02:45,2,45,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
03:00,3,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
03:15,3,15,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
03:30,3,30,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
03:45,3,45,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
04:00,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
04:15,4,15,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,240,240,240,240,240,240,240,240,240,280,280,280,280,280,280,280,280,280,280,280,280,280,280,320,320,320,320,320,320,320,320,320,320,320
