Time,Hour,Minute,ep_fridge_an,ep_washer_an,ep_dryer_bn,ep_boosterpump_abn,ep_pump,ep_1f_lighting1_an,ep_1f_lighting2_bn,ep_2f_lighting1_an,ep_2f_lighting2_bn,ep_3f_lighting1_an,ep_3f_lighting2_bn,ep_1f_wifi_an,ep_1f_WaterHeater_abn,ep_kitchen_bn,ep_2f_socket1_an,ep_2f_socket2_bn,l1_airc_abn,l1_lighting1_an,l1_lighting2_bn,l1_InductionCooktop_abn,l1_socket1_an,l1_socket2_bn,l1_socket3_an,l1_socket4_bn,l1_socket5_an,l1_socket6_bn,l2_Dehumidifier_bn,l2_bathroom1_an,l2_bathroom2_bn,l2_airc1_abn,l2_airc2_abn,l2_lighting1_an,l2_lighting2_bn,l2_socket1_an,l2_socket2_bn,l2_socket3_an,l2_socket4_bn,l2_socket5_an,l2_socket6_bn,l2_socket7_an,l3_airc_abn,l3_lighting1_an,l3_lighting2_bn,l3_socket1_an,l3_socket2_bn,l3_socket3_an,l3_socket4_bn,l3_socket5_an,l3_socket6_bn,l3_socket7_an,l3_socket8_bn
00:00,0,0,0.95,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.4444,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.1007,0.4444,0.4444,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4444,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
00:15,0,15,0.9533,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.4089,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.0676,0.4089,0.4089,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4089,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
00:30,0,30,0.9565,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.3644,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.0439,0.3644,0.3644,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3644,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
00:45,0,45,0.9598,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.3152,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.0277,0.3152,0.3152,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3152,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
01:00,1,0,0.9629,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.2651,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.0169,0.2651,0.2651,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.2651,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
01:15,1,15,0.9661,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.2177,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.01,0.2177,0.2177,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.2177,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
01:30,1,30,0.9691,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.1754,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.0057,0.1754,0.1754,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1754,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
01:45,1,45,0.9721,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.1397,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.0032,0.1397,0.1397,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1397,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
02:00,2,0,0.975,0,0,0.8,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.1111,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.0017,0.1111,0.1111,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1111,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
02:15,2,15,0.9778,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,1,0,0,0.05,0.05,0.0893,0.032,0.032,0,0.05,0.05,0.05,0.05,0.05,0.05,1,0,0.0009,0.0893,0.0893,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0893,0.032,0.032,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
