plan_code,plan_name_zh,plan_name_en,charge_type,season_code,season_zh,season_en,season_start_month_day,season_end_month_day,day_type_code,day_type_zh,day_type_en,period_code,period_zh,period_en,start_time,end_time,start_minute,end_minute,block_start_kwh,block_end_kwh,price_ntd_per_kwh,price_ntd_per_month,threshold_kwh,display_range_zh,display_range_en,note_zh,note_en
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,summer,夏月,Summer,06-01,09-30,all,全部日期,All days,tier,級距,Tier block,,,,,0,120,1.78,,,120度以下部分,0-120 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,all,全部日期,All days,tier,級距,Tier block,,,,,0,120,1.78,,,120度以下部分,0-120 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,summer,夏月,Summer,06-01,09-30,all,全部日期,All days,tier,級距,Tier block,,,,,120,330,2.55,,,121~330度部分,121-330 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,all,全部日期,All days,tier,級距,Tier block,,,,,120,330,2.26,,,121~330度部分,121-330 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,summer,夏月,Summer,06-01,09-30,all,全部日期,All days,tier,級距,Tier block,,,,,330,500,3.8,,,331~500度部分,331-500 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,all,全部日期,All days,tier,級距,Tier block,,,,,330,500,3.13,,,331~500度部分,331-500 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,summer,夏月,Summer,06-01,09-30,all,全部日期,All days,tier,級距,Tier block,,,,,500,700,5.14,,,501~700度部分,501-700 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,all,全部日期,All days,tier,級距,Tier block,,,,,500,700,4.24,,,501~700度部分,501-700 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,summer,夏月,Summer,06-01,09-30,all,全部日期,All days,tier,級距,Tier block,,,,,700,1000,6.44,,,701~1000度部分,701-1000 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,all,全部日期,All days,tier,級距,Tier block,,,,,700,1000,5.27,,,701~1000度部分,701-1000 kWh block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,summer,夏月,Summer,06-01,09-30,all,全部日期,All days,tier,級距,Tier block,,,,,1000,,8.86,,,1001度以上部分,1001 kWh and above block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
non_tou_residential,非時間電價-住宅用,Non-Time-of-Use Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,all,全部日期,All days,tier,級距,Tier block,,,,,1000,,7.03,,,1001度以上部分,1001 kWh and above block,非時間電價採分段累進計算。兩個月抄表、收費一次時，各段度數加倍計算。,"Non-TOU rate uses progressive tier blocks. If billed every two months, each block threshold is doubled."
