plan_code,plan_name_zh,plan_name_en,charge_type,season_code,season_zh,season_en,season_start_month_day,season_end_month_day,day_type_code,day_type_zh,day_type_en,period_code,period_zh,period_en,start_time,end_time,start_minute,end_minute,block_start_kwh,block_end_kwh,price_ntd_per_kwh,price_ntd_per_month,threshold_kwh,display_range_zh,display_range_en,note_zh,note_en
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,basic_fee,all,全年,All year,,,all,全部日期,All days,basic_fee,基本電費,Basic monthly fee,,,,,,,,75.0,,每戶每月,Per household per month,基本電費按戶計收。,Basic charge is billed per household per month.
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,surcharge,all,全年,All year,,,all,全部日期,All days,over_2000_surcharge,超過2000度加價,Surcharge over 2000 kWh,,,,,,,1.04,,2000,每月總度數超過2000度之部分,Monthly usage above 2000 kWh,每月總度數超過2000度之部分，每度加收1.04元。,"For monthly usage above 2000 kWh, add NT$1.04 per kWh for the excess part."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,summer,夏月,Summer,06-01,09-30,weekday,週一至週五,Monday to Friday,peak,尖峰時間,Peak period,16:00,22:00,960,1320,,,7.13,,,16:00~22:00,16:00-22:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,summer,夏月,Summer,06-01,09-30,weekday,週一至週五,Monday to Friday,mid_peak,半尖峰時間,Mid-peak period,09:00,16:00,540,960,,,4.69,,,09:00~16:00,09:00-16:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,summer,夏月,Summer,06-01,09-30,weekday,週一至週五,Monday to Friday,mid_peak,半尖峰時間,Mid-peak period,22:00,24:00,1320,1440,,,4.69,,,22:00~24:00,22:00-24:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,summer,夏月,Summer,06-01,09-30,weekday,週一至週五,Monday to Friday,off_peak,離峰時間,Off-peak period,00:00,09:00,0,540,,,2.06,,,00:00~09:00,00:00-09:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,weekday,週一至週五,Monday to Friday,mid_peak,半尖峰時間,Mid-peak period,06:00,11:00,360,660,,,4.48,,,06:00~11:00,06:00-11:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,weekday,週一至週五,Monday to Friday,mid_peak,半尖峰時間,Mid-peak period,14:00,24:00,840,1440,,,4.48,,,14:00~24:00,14:00-24:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,weekday,週一至週五,Monday to Friday,off_peak,離峰時間,Off-peak period,00:00,06:00,0,360,,,1.99,,,00:00~06:00,00:00-06:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,weekday,週一至週五,Monday to Friday,off_peak,離峰時間,Off-peak period,11:00,14:00,660,840,,,1.99,,,11:00~14:00,11:00-14:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,summer,夏月,Summer,06-01,09-30,weekend_holiday,週六、週日及離峰日,"Saturday, Sunday and off-peak days",off_peak,離峰時間,Off-peak period,00:00,24:00,0,1440,,,2.06,,,00:00~24:00,00:00-24:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
tou_3stage_residential,簡易型時間電價-三段式,Simple Time-of-Use Three-Period Residential,energy_rate,non_summer,非夏月,Non-summer,10-01,05-31,weekend_holiday,週六、週日及離峰日,"Saturday, Sunday and off-peak days",off_peak,離峰時間,Off-peak period,00:00,24:00,0,1440,,,1.99,,,00:00~24:00,00:00-24:00,時間電價依季節、平假日與時段套用每度電價。,"TOU rate is selected by season, day type, and time period."
