tariff_type,charge_type,season,season_start,season_end,day_type,period_type,start_time,end_time,start_minute,end_minute,price,unit,threshold_kwh
two_stage,basic,all,,,all,monthly,,,,,75,NTD/month,
two_stage,energy,summer,6る1ら,9る30ら,weekday,off_peak,00:00,09:00,0,540,2.06,NTD/kWh,
two_stage,energy,summer,6る1ら,9る30ら,weekday,peak,09:00,24:00:00,540,1440,5.16,NTD/kWh,
two_stage,energy,non_summer,,,weekday,off_peak,00:00,06:00,0,360,1.99,NTD/kWh,
two_stage,energy,non_summer,,,weekday,peak,06:00,11:00,360,660,4.93,NTD/kWh,
two_stage,energy,non_summer,,,weekday,off_peak,11:00,14:00,660,840,1.99,NTD/kWh,
two_stage,energy,non_summer,,,weekday,peak,14:00,24:00:00,840,1440,4.93,NTD/kWh,
two_stage,energy,summer,6る1ら,9る30ら,off_peak_day,off_peak,00:00,24:00:00,0,1440,2.06,NTD/kWh,
two_stage,energy,non_summer,,,off_peak_day,off_peak,00:00,24:00:00,0,1440,1.99,NTD/kWh,
two_stage,surcharge,all,,,all,monthly_excess,,,,,1.04,NTD/kWh,2000
three_stage,basic,all,,,all,monthly,,,,,75,NTD/month,
three_stage,energy,summer,6る1ら,9る30ら,weekday,off_peak,00:00,09:00,0,540,2.06,NTD/kWh,
three_stage,energy,summer,6る1ら,9る30ら,weekday,semi_peak,09:00,16:00,540,960,4.69,NTD/kWh,
three_stage,energy,summer,6る1ら,9る30ら,weekday,peak,16:00,22:00,960,1320,7.13,NTD/kWh,
three_stage,energy,summer,6る1ら,9る30ら,weekday,semi_peak,22:00,24:00:00,1320,1440,4.69,NTD/kWh,
three_stage,energy,non_summer,,,weekday,off_peak,00:00,06:00,0,360,1.99,NTD/kWh,
three_stage,energy,non_summer,,,weekday,semi_peak,06:00,11:00,360,660,4.48,NTD/kWh,
three_stage,energy,non_summer,,,weekday,off_peak,11:00,14:00,660,840,1.99,NTD/kWh,
three_stage,energy,non_summer,,,weekday,semi_peak,14:00,24:00:00,840,1440,4.48,NTD/kWh,
three_stage,energy,summer,6る1ら,9る30ら,off_peak_day,off_peak,00:00,24:00:00,0,1440,2.06,NTD/kWh,
three_stage,energy,non_summer,,,off_peak_day,off_peak,00:00,24:00:00,0,1440,1.99,NTD/kWh,
three_stage,surcharge,all,,,all,monthly_excess,,,,,1.04,NTD/kWh,2000
