Time,pv_kw,,,
00:00,0,0,0,0
00:15,0,0,0,0
00:30,0,0,0,0
00:45,0,0,0,0
01:00,0,0,0,0
01:15,0,0,0,0
01:30,0,0,0,0
01:45,0,0,0,0
02:00,0,0,0,0
02:15,0,0,0,0
02:30,0,0,0,0
02:45,0,0,0,0
03:00,0,0,0,0
03:15,0,0,0,0
03:30,0,0,0,0
03:45,0,0,0,0
04:00,0,0,0,0
04:15,0,0,0,0
04:30,0,0,0,0
04:45,0,0,0,0
05:00,0,0,0,0
05:15,0,0,0,0
05:30,0,0,0,0
05:45,0,0,0,0
06:00,165,165,0,500
06:15,489.4,489.4,0,500
06:30,795.4,795.4,0,500
06:45,1118.2,1118.2,0,500
07:00,1439,1439,0,500
07:15,1762.6,1762.6,0,1500
07:30,2053.4,2053.4,0,1500
07:45,2334.87,2334.87,0,1500
08:00,2627.27,2627.27,0,1500
08:15,2915.53,2915.53,0,1500
08:30,3164,3164,0,1500
08:45,3404.27,3404.27,0,1500
09:00,3637.4,3637.4,0,1500
09:15,3853.6,3853.6,0,1500
09:30,1703.33,1703.33,0,1500
09:45,4241.27,4241.27,0,1500
10:00,4402.87,4402.87,0,1500
10:15,4556.47,4556.47,0,3000
10:30,4669.67,4669.67,0,3000
10:45,4773.07,4773.07,0,3000
11:00,4877.6,4877.6,0,3000
11:15,4934.27,4934.27,0,3000
11:30,4974.4,4974.4,0,3000
11:45,5001.07,5001.07,0,3000
12:00,5001.27,5001.27,0,3000
12:15,1849.47,1849.47,0,4000
12:30,3852.93,3852.93,0,4000
12:45,4874.73,4874.73,0,4000
13:00,4788.67,4788.67,0,4000
13:15,4673.53,4673.53,0,3000
13:30,4561.47,4561.47,0,3000
13:45,4415,4415,0,3000
14:00,4254.13,4254.13,0,3000
14:15,4074.67,4074.67,0,3000
14:30,3871.07,3871.07,0,3000
14:45,3659.8,3659.8,0,3000
15:00,2375.47,2375.47,0,3000
15:15,3192.47,3192.47,0,1500
15:30,2926.13,2926.13,0,1500
15:45,2647.4,2647.4,0,1500
16:00,2356.8,2356.8,0,1500
16:15,2064.73,2064.73,0,1500
16:30,1785,1785,0,1500
16:45,1459,1459,0,1500
17:00,1148,1148,0,1500
17:15,821.73,821.73,0,1500
17:30,499.93,499.93,0,1500
17:45,171.87,171.87,0,1500
18:00,0,0,0,1500
18:15,0,0,0,500
18:30,0,0,0,500
18:45,0,0,0,500
19:00,0,0,0,500
19:15,0,0,0,500
19:30,0,0,0,0
19:45,0,0,0,0
20:00,0,0,0,0
20:15,0,0,0,0
20:30,0,0,0,0
20:45,0,0,0,0
21:00,0,0,0,0
21:15,0,0,0,0
21:30,0,0,0,0
21:45,0,0,0,0
22:00,0,0,0,0
22:15,0,0,0,0
22:30,0,0,0,0
22:45,0,0,0,0
23:00,0,0,0,0
23:15,0,0,0,0
23:30,0,0,0,0
23:45,0,0,0,0
