step,Time,Hour,Minute,minute_of_day,fridge_kw,ac_kw,heater_kw,dehumidifier_kw,dryer_kw,lighting_kw,washer_kw,transferPump_kw,boosterPump_kw,total_power_kw,energy_kwh
0,00:00,0,0,0,0.06,0.0,0.0,0.02,0.0,0.04458646029589399,0.0,0.0,0.0,0.12458646029589399,0.0020764410049315665
1,00:01,0,1,1,0.061570078687288324,0.0,0.0,0.02,0.0,0.044556606237430595,0.0,0.0,0.0,0.12612668492471893,0.002102111415411982
2,00:02,0,2,2,0.0631358538980296,0.0,0.0,0.02,0.0,0.04354186691673454,0.0,0.0,0.0,0.12667772081476414,0.0021112953469127355
3,00:03,0,3,3,0.06469303395120693,0.0,0.0,0.02,0.0,0.04869753491839351,0.0,0.0,0.0,0.13339056886960043,0.002223176147826674
4,00:04,0,4,4,0.06623735072453277,0.0,0.0,0.02,0.0,0.042481752449427077,0.0,0.0,0.0,0.12871910317395985,0.002145318386232664
5,00:05,0,5,5,0.06776457135307562,0.0,0.0,0.02,0.0,0.04806139413492649,0.0,0.0,0.0,0.1358259654880021,0.002263766091466702
6,00:06,0,6,6,0.06927050983124841,0.0,0.0,0.02,0.0,0.04474131106502384,0.0,0.0,0.0,0.13401182089627225,0.002233530348271204
7,00:07,0,7,7,0.07075103848635901,0.0,0.0,0.02,0.0,0.0422343389507913,0.0,0.0,0.0,0.13298537743715033,0.0022164229572858387
8,00:08,0,8,8,0.072202099292274,0.0,0.0,0.02,0.0,0.0415360033996216,0.0,0.0,0.0,0.13373810269189562,0.0022289683781982605
9,00:09,0,9,9,0.0736197149921864,0.0,0.0,0.02,0.0,0.04231041283256876,0.0,0.0,0.0,0.13593012782475516,0.002265502130412586
10,00:10,0,10,10,0.075,0.0,0.0,0.02,0.0,0.04493078412614071,0.0,0.0,0.0,0.1399307841261407,0.0023321797354356787
11,00:11,0,11,11,0.07633917105045081,0.0,0.0,0.02,0.0,0.04169178576603225,0.0,0.0,0.0,0.13803095681648306,0.002300515946941384
12,00:12,0,12,12,0.0776335575687742,0.0,0.0,0.02,0.0,0.04940793758050068,0.0,0.0,0.0,0.1470414951492749,0.0024506915858212483
13,00:13,0,13,13,0.07887961173149512,0.0,0.0,0.02,0.0,0.04187873082776103,0.0,0.0,0.0,0.14075834255925615,0.0023459723759876026
