Time,battery_power_kw,battery_status,battery_energy_change_kwh,battery_energy_kwh,soc_percent
00:00,1.588308,Discharging,-0.417976,9.582024,47.910121
00:15,1.541360,Discharging,-0.405621,9.176403,45.882016
00:30,1.487304,Discharging,-0.391396,8.785007,43.925037
00:45,1.430292,Discharging,-0.376393,8.408615,42.043074
01:00,1.373780,Discharging,-0.361521,8.047094,40.235468
01:15,1.321296,Discharging,-0.347709,7.699384,38.496921
01:30,1.275008,Discharging,-0.335528,7.363856,36.819279
01:45,1.236352,Discharging,-0.325356,7.038500,35.192500
02:00,0.878356,Discharging,-0.231146,6.807354,34.036768
02:15,1.182416,Discharging,-0.311162,6.496191,32.480957
02:30,1.165544,Discharging,-0.306722,6.189469,30.947347
02:45,0.363396,Discharging,-0.095630,6.093839,30.469195
03:00,-5.000000,Charging,1.187500,7.281339,36.406695
03:15,1.141796,Discharging,-0.300473,6.980866,34.904332
03:30,1.139392,Discharging,-0.299840,6.681026,33.405132
03:45,1.138500,Discharging,-0.299605,6.381421,31.907105
04:00,1.139296,Discharging,-0.299815,6.081606,30.408032
04:15,1.141748,Discharging,-0.300460,5.781146,28.905732
04:30,1.146716,Discharging,-0.301767,5.479379,27.396895
04:45,1.155312,Discharging,-0.304029,5.175349,25.876747
05:00,1.168676,Discharging,-0.307546,4.867803,24.339016
05:15,1.188080,Discharging,-0.312653,4.555151,22.775753
05:30,1.214016,Discharging,-0.319478,4.235673,21.178363
05:45,0.895556,Discharging,-0.235673,4.000000,20.000000
06:00,-5.000000,Charging,1.187500,5.187500,25.937500
06:15,3.686532,Discharging,-0.970140,4.217360,21.086800
06:30,0.825968,Discharging,-0.217360,4.000000,20.000000
06:45,0.000000,Idling,0.000000,4.000000,20.000000
07:00,0.000000,Idling,0.000000,4.000000,20.000000
07:15,0.000000,Idling,0.000000,4.000000,20.000000
07:30,0.000000,Idling,0.000000,4.000000,20.000000
07:45,0.000000,Idling,0.000000,4.000000,20.000000
08:00,0.000000,Idling,0.000000,4.000000,20.000000
08:15,-1.745149,Charging,0.414473,4.414473,22.072364
08:30,-1.802529,Charging,0.428101,4.842574,24.212868
08:45,0.000000,Idling,0.000000,4.842574,24.212868
09:00,-2.611985,Charging,0.620346,5.462920,27.314600
09:15,-2.371499,Charging,0.563231,6.026151,30.130755
09:30,0.000000,Idling,0.000000,6.026151,30.130755
09:45,-3.019350,Charging,0.717096,6.743247,33.716233
10:00,-2.875167,Charging,0.682852,7.426099,37.130493
10:15,-2.849816,Charging,0.676831,8.102930,40.514650
10:30,0.000000,Idling,0.000000,8.102930,40.514650
10:45,-5.000000,Charging,1.187500,9.290430,46.452150
11:00,-5.000000,Charging,1.187500,10.477930,52.389650
11:15,-5.000000,Charging,1.187500,11.665430,58.327150
11:30,0.000000,Idling,0.000000,11.665430,58.327150
11:45,-3.095701,Charging,0.735229,12.400659,62.003295
12:00,-3.069243,Charging,0.728945,13.129604,65.648021
12:15,0.000000,Idling,0.000000,13.129604,65.648021
12:30,0.000000,Idling,0.000000,13.129604,65.648021
12:45,-5.000000,Charging,1.187500,14.317104,71.585521
13:00,0.000000,Idling,0.000000,14.317104,71.585521
13:15,-2.927810,Charging,0.695355,15.012459,75.062296
13:30,-5.000000,Charging,1.187500,16.199959,80.999796
13:45,-3.008446,Charging,0.714506,16.914465,84.572325
14:00,-2.754801,Charging,0.654265,17.568730,87.843651
14:15,0.000000,Idling,0.000000,17.568730,87.843651
14:30,0.000000,Idling,0.000000,17.568730,87.843651
14:45,-1.815872,Charging,0.431270,18.000000,90.000000
15:00,-0.000000,Idling,0.000000,18.000000,90.000000
15:15,0.000000,Idling,0.000000,18.000000,90.000000
15:30,0.000000,Idling,0.000000,18.000000,90.000000
15:45,0.000000,Idling,0.000000,18.000000,90.000000
16:00,-0.000000,Idling,0.000000,18.000000,90.000000
16:15,0.000000,Idling,0.000000,18.000000,90.000000
16:30,0.000000,Idling,0.000000,18.000000,90.000000
16:45,0.070616,Discharging,-0.018583,17.981417,89.907084
17:00,-0.078245,Charging,0.018583,18.000000,90.000000
17:15,-0.000000,Idling,0.000000,18.000000,90.000000
17:30,-0.000000,Idling,0.000000,18.000000,90.000000
17:45,-0.000000,Idling,0.000000,18.000000,90.000000
18:00,-0.000000,Idling,0.000000,18.000000,90.000000
18:15,5.000000,Discharging,-1.315789,16.684211,83.421053
18:30,5.000000,Discharging,-1.315789,15.368421,76.842105
18:45,5.000000,Discharging,-1.315789,14.052632,70.263158
19:00,0.046436,Discharging,-0.012220,14.040412,70.202058
19:15,0.422440,Discharging,-0.111168,13.929243,69.646217
19:30,5.000000,Discharging,-1.315789,12.613454,63.067269
19:45,5.000000,Discharging,-1.315789,11.297664,56.488322
20:00,0.543923,Discharging,-0.143138,11.154527,55.772633
20:15,0.213961,Discharging,-0.056306,11.098221,55.491106
20:30,-5.000000,Charging,1.187500,12.285721,61.428606
20:45,0.456825,Discharging,-0.120217,12.165504,60.827519
21:00,-5.000000,Charging,1.187500,13.353004,66.765019
21:15,0.382061,Discharging,-0.100542,13.252462,66.262308
21:30,5.000000,Discharging,-1.315789,11.936672,59.683360
21:45,5.000000,Discharging,-1.315789,10.620883,53.104413
22:00,0.294919,Discharging,-0.077610,10.543272,52.716361
22:15,0.294919,Discharging,-0.077610,10.465662,52.328310
22:30,0.294919,Discharging,-0.077610,10.388052,51.940258
22:45,0.294919,Discharging,-0.077610,10.310441,51.552207
23:00,0.294919,Discharging,-0.077610,10.232831,51.164155
23:15,0.294919,Discharging,-0.077610,10.155221,50.776103
23:30,0.294919,Discharging,-0.077610,10.077610,50.388052
23:45,0.294919,Discharging,-0.077610,10.000000,50.000000
