iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
0,0.9000000000,390.4039885601,390.4039885601,394.1575660976,4.1717312933,28.1372750932
1,0.9000000000,390.0282344616,390.0282344616,392.0471272094,2.1079200363,27.2558137404
2,0.8989979960,390.0282344616,390.2245263211,391.7001214696,0.8479502832,24.4028121495
3,0.8979959920,389.9341429694,389.9341429694,391.3358310777,0.6144737253,19.9503323259
4,0.8969939880,389.8199638419,389.8199638419,391.0700923072,0.6100353761,20.2610585305
5,0.8959919840,389.8199638419,389.9312687555,391.3135772272,0.7136142456,20.1107553066
6,0.8949899800,389.8199638419,390.1034362968,391.2208771562,0.5647750457,18.6709563978
7,0.8939879760,389.6341727133,389.6341727133,390.8442280883,0.6336222145,21.5686801265
8,0.8929859719,389.3716997907,389.3716997907,390.7073680716,0.5428496625,21.6740659797
9,0.8919839679,389.3716997907,389.5151425768,390.8752344436,0.8272171562,19.1841379648
10,0.8909819639,388.7648500546,388.7648500546,390.3489372637,0.6932394693,20.2832753623
11,0.8899799599,388.7334880984,388.7334880984,390.1759971923,0.5134395512,20.6460109507
12,0.8889779559,388.5857262603,388.5857262603,389.9337494472,0.7266454109,19.1800290183
13,0.8879759519,388.4876035952,388.4876035952,389.7918465087,0.5712510308,17.8363524704
14,0.8869739479,388.4876035952,388.6346441051,389.9070703702,1.8523207689,15.6754138349
15,0.8859719439,388.4876035952,388.6491542243,389.5556187774,0.4982306722,14.4710799387
16,0.8849699399,388.4876035952,388.6445851961,389.3580524482,0.4170139561,13.5738150494
17,0.8839679359,388.4876035952,388.6239972474,389.3700558710,0.5219969889,13.4259773154
18,0.8829659319,388.4313689409,388.4313689409,389.2825783100,0.4625801713,12.8390539908
19,0.8819639279,388.2036510813,388.2036510813,388.9693296700,0.4368126058,11.9250940715
20,0.8809619238,387.6194758105,387.6194758105,388.7521677539,0.9982617706,13.0769925401
21,0.8799599198,387.6194758105,387.9504263278,388.9057929460,0.5751921114,12.8807029947
22,0.8789579158,387.6038219122,387.6038219122,388.6093943862,0.4869439444,11.0474293286
23,0.8779559118,387.6038219122,387.6537408329,388.4476122738,0.5420593018,10.8879020233
24,0.8769539078,387.4691831246,387.4691831246,388.3882068251,0.4187625036,11.1184917283
25,0.8759519038,387.4691831246,387.4760414092,388.3308696385,0.4662669446,9.5706443900
26,0.8749498998,387.4691831246,387.6844728246,388.5145713135,0.4266844301,10.0900862011
27,0.8739478958,387.4691831246,387.4888883576,388.3065790598,0.4011409927,9.9940528826
28,0.8729458918,387.4691831246,387.5581050787,388.3808363200,0.4795368134,10.0187959926
29,0.8719438878,387.3044916167,387.3044916167,388.2146633129,0.4828473032,9.5864404470
30,0.8709418838,387.3044916167,387.3714456628,388.2113080082,0.4333752823,9.6899790176
31,0.8699398798,387.3044916167,387.3714663744,388.1031166294,0.4238949196,9.0192580125
32,0.8689378758,387.3044916167,387.3263693937,388.1016087229,0.4100082336,8.3154961633
33,0.8679358717,387.3044916167,387.3164001713,388.1388635517,0.4849147717,8.5063873070
34,0.8669338677,387.2829247071,387.2829247071,388.0615685991,0.4041507937,8.2999368685
