iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
0,0.9000000000,373.7368396291,373.7368396291,406.7792830427,10.4543840088,28.1372750932
1,0.9000000000,373.7368396291,378.6650994066,393.7671505889,7.6034190652,26.5002113480
2,0.8989979960,373.7368396291,377.7293038348,392.9037971333,7.6371455672,24.2127437550
3,0.8979959920,373.7368396291,373.8276063181,385.6172938176,6.0136649257,18.8800615625
4,0.8969939880,365.2017165711,365.2017165711,377.8135290149,6.0833526222,21.1310433496
5,0.8959919840,365.2017165711,365.2099727623,373.5586241695,3.5015072366,20.5231296762
6,0.8949899800,365.2017165711,368.9625422393,373.1470666162,2.4789035343,15.5343260048
7,0.8939879760,365.2017165711,367.3795269842,372.5098586857,2.9652543298,13.7038969314
8,0.8929859719,365.2017165711,365.6369568032,371.1950329275,2.9445751274,13.7116399593
9,0.8919839679,362.6939189023,362.6939189023,370.0843377856,2.6378271710,14.8111808035
10,0.8909819639,362.6939189023,363.8901488294,368.3505048290,2.2667455093,14.0906828658
11,0.8899799599,362.6939189023,364.0367745417,368.3541018368,1.9671328815,12.5308454319
12,0.8889779559,362.0467605364,362.0467605364,367.2589276424,2.2204963494,11.7223208111
13,0.8879759519,362.0467605364,363.1420505432,368.2328073437,2.5959155307,11.5627802632
14,0.8869739479,362.0467605364,363.7838853693,367.4407070463,1.9921745183,11.6786961529
15,0.8859719439,362.0467605364,362.7514033789,366.9203524767,1.6425649431,11.4641063769
16,0.8849699399,362.0467605364,362.6071523761,366.8902052290,1.9889042725,11.5491881162
17,0.8839679359,362.0467605364,362.4047368791,366.5641970485,2.0811832051,11.1023312324
18,0.8829659319,362.0467605364,362.5530342331,366.3002191607,2.0993932434,10.1485536855
19,0.8819639279,360.1982298330,360.1982298330,365.8479274109,2.0233170491,9.7925610856
20,0.8809619238,360.1982298330,360.4316854761,365.3022812897,2.0044634177,9.7757900217
21,0.8799599198,360.1982298330,360.7511031974,365.3616817138,2.3470278985,9.8704041534
22,0.8789579158,360.1982298330,361.8105086438,365.0393162266,1.7610601361,9.5808307723
23,0.8779559118,360.1982298330,360.7288430788,365.0170908613,2.5874515694,9.6982817441
24,0.8769539078,360.1982298330,360.4432192227,365.1138765571,2.2768006914,9.2619407930
25,0.8759519038,360.1982298330,361.5143993008,364.6998495627,1.9157886659,8.8528292929
26,0.8749498998,360.1982298330,360.9882627078,364.5249365696,2.2097682215,9.0788888102
27,0.8739478958,360.1982298330,360.3884312387,364.6479188239,2.1809841199,9.1631836230
28,0.8729458918,360.1982298330,361.1906194977,364.4345118045,2.1799564606,9.1604292345
29,0.8719438878,360.1982298330,360.4128076319,364.5040764398,2.2332546266,8.9347049348
30,0.8709418838,360.1982298330,360.5319010416,364.3133444373,2.1611284374,9.0052100117
31,0.8699398798,360.1982298330,360.9914271152,364.5676539500,1.9283698546,8.7871558495
32,0.8689378758,360.1982298330,360.3445517601,364.2108220273,2.0729494672,8.5306837422
33,0.8679358717,360.1982298330,360.8892011036,364.7304268463,2.0323548541,8.5706838716
34,0.8669338677,359.9972749322,359.9972749322,364.6171029199,2.1528600347,8.6856154625
