iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
0,0.9000000000,161.9907209114,161.9907209114,165.5905313066,3.7122372236,28.1372750932
1,0.9000000000,161.8348929429,161.8348929429,163.5205511754,0.6804413374,27.1619263880
2,0.8989979960,161.8348929429,161.8948763999,163.9018026022,1.1041394487,25.2163102810
3,0.8979959920,161.6320807600,161.6320807600,163.4999779506,0.7555387856,21.3101385073
4,0.8969939880,161.6320807600,162.0036165687,163.3603079239,0.7369931287,21.3765276079
5,0.8959919840,161.5325072134,161.5325072134,163.1302730422,0.7011125028,23.8573946666
6,0.8949899800,161.5325072134,161.7130374221,163.1033403917,1.7257342816,22.7023703883
7,0.8939879760,161.5325072134,161.7598522151,162.9374571477,0.7660807397,19.9853776607
8,0.8929859719,161.5325072134,161.6117210794,162.6008969948,0.5547335337,19.8849753454
9,0.8919839679,161.4184377079,161.4184377079,162.5584558031,0.7203834205,19.7895630296
10,0.8909819639,161.4184377079,161.5028751826,162.5186665439,0.5195681400,19.2224879910
11,0.8899799599,161.4184377079,161.4957304105,162.5517111171,0.5061954438,17.8514356425
12,0.8889779559,161.3540189370,161.3540189370,162.4546787935,0.4768786724,17.0117030281
13,0.8879759519,161.3540189370,161.5966973842,162.6106431187,1.6269420767,17.4055505931
14,0.8869739479,161.3540189370,161.6042125526,162.7289451018,1.7015189654,17.2503979626
15,0.8859719439,161.3540189370,161.6867394636,162.4062283105,0.5483453021,17.0422382537
16,0.8849699399,161.3540189370,161.5820348951,162.5479946705,0.6520379813,17.5049233139
17,0.8839679359,161.3540189370,161.4892434732,162.4456203356,0.7040617549,17.3054023317
18,0.8829659319,161.3540189370,161.5180538143,162.4348287021,0.8550187671,16.7140502814
19,0.8819639279,161.3540189370,161.6565632390,162.3576458934,0.4639404787,15.9175981288
20,0.8809619238,161.3540189370,161.4288523357,162.3171315979,0.4562830810,15.9874895423
21,0.8799599198,161.3540189370,161.4768990743,162.3466593907,0.5056204655,16.1978673121
22,0.8789579158,161.3540189370,161.3839460333,162.2424882063,0.4075588102,16.0043150507
23,0.8779559118,161.3540189370,161.5035835055,162.2329524747,0.4488233427,15.3221889392
24,0.8769539078,161.3540189370,161.5734342221,162.3552934172,0.4661118153,15.4787003927
25,0.8759519038,161.3540189370,161.5299725028,162.3040977614,0.6517777682,14.7986815903
26,0.8749498998,161.3540189370,161.5135391710,162.2130185608,0.4483835974,14.5910344673
27,0.8739478958,161.2642304652,161.2642304652,162.2055281943,0.4919242511,15.6087475176
28,0.8729458918,161.2642304652,161.4572273026,162.1396959075,0.3628900728,14.8937337122
29,0.8719438878,161.2642304652,161.4755642818,162.1499503449,0.4352980324,15.7092726975
30,0.8709418838,161.2642304652,161.6607354449,162.1866540135,0.3560812012,15.6534666352
31,0.8699398798,161.2642304652,161.4207055704,162.1035496782,0.3613991743,15.3764380894
32,0.8689378758,161.2642304652,161.3057444917,162.1153146976,0.4968447116,14.9278079213
33,0.8679358717,160.8856010494,160.8856010494,162.1183141457,0.5138431739,16.8373484268
34,0.8669338677,160.8856010494,160.9823641653,162.0205781285,0.6125073164,17.2430870149
35,0.8659318637,160.8856010494,161.2240180239,162.3350178391,0.6441888249,16.4030605884
36,0.8649298597,160.8856010494,160.9724231004,162.0316320494,0.5423287032,17.6649113033
37,0.8639278557,160.8856010494,160.9273489735,161.8256620943,0.4452366711,17.2509946895
38,0.8629258517,160.7835737631,160.7835737631,161.8829451321,0.5745124534,16.5262051660
39,0.8619238477,160.7835737631,161.1851672612,162.1386404149,0.6017070684,16.2696560293
40,0.8609218437,160.7835737631,160.8811581960,161.9764444498,0.5556843901,15.7906234214
41,0.8599198397,160.7835737631,160.8825773810,161.8107250960,0.4568491909,16.0601860885
42,0.8589178357,160.6914114610,160.6914114610,161.7966386251,0.4625638367,16.4904968587
43,0.8579158317,160.6914114610,160.9220871634,161.8809835648,0.5179640156,15.2277017107
44,0.8569138277,160.6914114610,160.8842251870,161.9654418301,0.6427377557,15.2641700215
45,0.8559118236,160.6914114610,160.9063636828,161.8155377956,0.4937408925,15.2969187550
46,0.8549098196,160.6914114610,160.8610916264,161.7194623864,0.4351739724,15.4822190770
47,0.8539078156,160.6245654732,160.6245654732,161.7490588135,0.5122315706,16.1574586873
48,0.8529058116,160.6245654732,161.2411904111,161.8976890874,0.4565584431,14.5599393920
49,0.8519038076,160.6245654732,160.8241275248,161.8011243976,0.4626506778,14.6720360324
50,0.8509018036,160.6245654732,160.7846332535,161.7944905732,0.4942003617,15.3016270632
51,0.8498997996,160.6245654732,160.7917909679,161.7794503006,0.5252632074,15.0197721155
52,0.8488977956,160.6245654732,160.7258950182,161.6083791138,0.5741657031,14.2346669906
53,0.8478957916,160.6245654732,160.8059696581,161.7553842792,0.5335362750,14.0055993705
54,0.8468937876,160.6245654732,160.8515273777,161.6422212914,0.4429716918,13.7450475179
55,0.8458917836,160.6245654732,160.9842850069,161.6875240394,0.4063725007,14.2613699550
56,0.8448897796,160.6245654732,160.8736390342,161.6825859047,0.4804056969,14.1159521637
57,0.8438877756,160.6245654732,160.6652159305,161.6357726012,0.4005800018,13.5576718699
58,0.8428857715,160.6245654732,160.7118192563,161.6089825452,0.4252221004,13.3717796186
59,0.8418837675,160.6245654732,160.7681983506,161.6760951111,0.4472567088,13.4664777591
60,0.8408817635,160.5120498405,160.5120498405,161.4906862167,0.4258317524,13.1931707381
61,0.8398797595,160.4836885157,160.4836885157,161.5764686900,0.5683486494,14.0532416692
62,0.8388777555,160.4836885157,160.5787482054,161.5402209543,0.5990145038,13.4764783266
63,0.8378757515,160.4836885157,160.6656033342,161.4501631853,0.3500199295,12.8310345934
64,0.8368737475,160.4836885157,160.6571941446,161.3247904869,0.3721157706,12.8977040690
65,0.8358717435,160.4111892731,160.4111892731,161.4176144380,0.4541240904,13.3034299429
66,0.8348697395,160.4111892731,160.4627884138,161.3984268884,0.4276183292,12.9330724656
67,0.8338677355,160.4111892731,160.4145526664,161.4015594801,0.4819177299,12.3173117836
68,0.8328657315,160.4111892731,160.6768697162,161.3237608260,0.3846386372,12.7432893427
69,0.8318637275,160.4111892731,160.4146287374,161.1656071128,0.4424981478,12.4637567627
70,0.8308617234,160.4111892731,160.4685488909,161.2366193981,0.4308558029,12.3894669354
71,0.8298597194,160.3470781622,160.3470781622,161.1393759464,0.4070466646,11.9977583764
72,0.8288577154,160.3470781622,160.4982650864,161.3699650736,0.4240734970,11.4405730664
73,0.8278557114,160.3470781622,160.5244475137,161.2573597711,0.4780957384,11.1018400977
74,0.8268537074,160.3470781622,160.3601292709,161.1689110386,0.5096482712,11.8248204200
75,0.8258517034,160.3470781622,160.4331185529,161.1369913769,0.4753919841,11.5203165010
76,0.8248496994,160.3470781622,160.4432546066,161.1157636968,0.4371405629,11.1329177343
77,0.8238476954,160.3470781622,160.4790000667,161.2185291260,0.4600382731,10.8641226822
78,0.8228456914,160.3470781622,160.4475232682,161.2094953459,0.4624515270,11.0372579364
79,0.8218436874,160.3470781622,160.3822458373,161.1236599811,0.4289826273,10.8615952443
80,0.8208416834,160.2621330897,160.2621330897,161.0377377169,0.4763625273,11.5227911422
81,0.8198396794,160.2621330897,160.3445044403,161.0080292708,0.4143576657,10.9299724515
82,0.8188376754,160.2548176121,160.2548176121,160.9983116108,0.4130739552,11.4074668910
83,0.8178356713,160.2548176121,160.3784477653,161.1028355259,0.3620076741,11.5567398105
84,0.8168336673,160.2548176121,160.2910779610,160.9907642427,0.3596901924,10.7742837380
85,0.8158316633,160.2548176121,160.3070001511,161.0636426190,0.4500666130,11.3470469450
86,0.8148296593,160.2279610355,160.2279610355,160.9674157571,0.4258014352,11.0489509441
87,0.8138276553,160.2279610355,160.2505091467,160.9559610167,0.4078273364,10.8395041299
88,0.8128256513,160.1740362632,160.1740362632,160.8793135115,0.4234357225,10.7176349786
89,0.8118236473,160.1740362632,160.2050935842,161.0159693542,0.4512297309,10.3109689774
90,0.8108216433,160.1740362632,160.2582912329,160.9545751796,0.4806329675,10.1817708147
91,0.8098196393,160.1671304897,160.1671304897,160.9213469607,0.4364475985,10.5633800860
92,0.8088176353,160.1671304897,160.2042707169,160.7926688788,0.3863268391,10.1391736340
93,0.8078156313,160.1671304897,160.1906882019,160.7876376562,0.3313571826,9.5066297356
94,0.8068136273,160.1671304897,160.2032476922,160.7584827008,0.3686034028,9.6565789030
95,0.8058116232,160.1649164105,160.1649164105,160.8140220183,0.4004216917,10.1902710670
96,0.8048096192,160.1649164105,160.2135182272,160.8817787133,0.4933106319,10.2458094874
97,0.8038076152,160.1649164105,160.1691989171,160.8324713244,0.3950582900,9.6773609106
98,0.8028056112,160.1649164105,160.1718681015,160.7599855693,0.3507017514,9.6033943034
99,0.8018036072,160.1649164105,160.1755420870,160.7809980246,0.4318733530,9.4999961045
100,0.8008016032,160.0965861313,160.0965861313,160.7620968528,0.4141794994,9.8458328002
101,0.7997995992,160.0965861313,160.1791346044,160.6995679669,0.2953011416,9.3356797465
102,0.7987975952,160.0965861313,160.1668589150,160.7293560893,0.3851871942,9.2349041694
103,0.7977955912,160.0965861313,160.1747183093,160.7132414445,0.3116835702,9.3158968518
104,0.7967935872,160.0523135441,160.0523135441,160.7218639010,0.4076322000,9.2519372130
105,0.7957915832,160.0523135441,160.1066140980,160.7192504850,0.4227284354,9.1428209654
106,0.7947895792,159.9921013311,159.9921013311,160.6673714651,0.4692264513,8.8325620307
107,0.7937875752,159.9921013311,160.0490231635,160.6307727242,0.4025664923,9.6653896079
108,0.7927855711,159.9921013311,159.9997687721,160.6040579279,0.3790704040,9.3294907347
109,0.7917835671,159.9921013311,160.0131645000,160.5895214288,0.3749694738,9.0421787841
110,0.7907815631,159.9921013311,160.0262658054,160.6061766051,0.4108444759,8.7622370424
111,0.7897795591,159.9854393923,159.9854393923,160.5362007549,0.3539001656,8.9120407248
112,0.7887775551,159.9854393923,160.0034167955,160.5506701785,0.4141254505,8.7927435335
113,0.7877755511,159.9854006256,159.9854006256,160.4894508762,0.3700793056,8.4205999184
114,0.7867735471,159.9416718992,159.9416718992,160.4736130248,0.3793175894,8.3589475759
115,0.7857715431,159.9138170995,159.9138170995,160.5098835448,0.3759407291,8.1888041996
116,0.7847695391,159.9126475348,159.9126475348,160.4788190030,0.4099600515,7.8771413978
117,0.7837675351,159.9126475348,160.0531260650,160.5460920241,0.3436137994,7.6943836803
118,0.7827655311,159.9126475348,159.9383846702,160.5061842207,0.4063264905,7.7875814778
