iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
0,0.9000000000,302.8533127860,302.8533127860,324.3241799674,7.6705312195,28.1372750932
1,0.9000000000,299.8663261156,299.8663261156,314.0798785774,5.6962353193,27.5390132465
2,0.8989979960,299.8663261156,302.9891581526,311.3751641403,4.8500833008,27.2177973651
3,0.8979959920,297.3465728033,297.3465728033,306.6534795231,4.1793758886,21.4504745468
4,0.8969939880,297.3465728033,298.7506261546,304.2523723142,3.3813411843,18.5018891217
5,0.8959919840,297.3465728033,297.8944491663,302.4190469115,2.1325919541,15.7333147906
6,0.8949899800,297.3465728033,297.5803132854,301.3591487006,1.7723236044,14.4198042330
7,0.8939879760,297.3317891742,297.3317891742,301.0909121285,1.9700878798,14.1441445773
8,0.8929859719,295.3233485383,295.3233485383,299.7887303248,2.5194334703,17.0592076849
9,0.8919839679,294.8146353138,294.8146353138,298.6272076652,2.0842768973,15.7471125295
10,0.8909819639,294.5183117054,294.5183117054,298.9041326617,2.1089687402,13.3408020338
11,0.8899799599,294.1332073386,294.1332073386,298.5600434066,2.1150136534,12.9525779246
12,0.8889779559,294.1332073386,294.2564615302,297.8355179970,1.6591813297,13.4681504631
13,0.8879759519,294.1332073386,294.7265066572,297.6674641572,1.8369988082,13.1579862075
14,0.8869739479,294.0910119576,294.0910119576,297.4732873967,1.8951221561,13.8339614230
15,0.8859719439,294.0910119576,294.5134414963,297.6823316200,1.8988275934,11.9639059569
16,0.8849699399,294.0772186975,294.0772186975,296.7860258183,1.6535967975,11.4830484923
17,0.8839679359,292.0570192868,292.0570192868,296.1207444047,2.0819357473,13.9216103479
18,0.8829659319,292.0570192868,292.8104653223,296.6644485883,2.1331811513,12.6140756963
19,0.8819639279,292.0570192868,292.7695488799,296.8774467069,2.0195585529,11.5312642142
20,0.8809619238,292.0570192868,293.2555106671,296.2564868739,1.9193206568,11.7843499442
21,0.8799599198,292.0570192868,292.4670647290,295.5323655666,1.8242667433,11.9174265130
22,0.8789579158,292.0570192868,292.6246890330,295.2007570962,1.5993192704,11.8328089492
23,0.8779559118,292.0570192868,292.6380238117,295.3741400366,1.7814982297,10.9878981125
24,0.8769539078,292.0570192868,292.6195151361,295.7009104828,1.9833614618,10.7668432383
25,0.8759519038,292.0570192868,293.0262200276,295.6991970252,1.9021335819,10.4078950463
26,0.8749498998,292.0570192868,292.3093129252,294.8792655734,1.5107072396,10.6785717591
27,0.8739478958,292.0570192868,292.6736310852,295.0984436779,1.7100105030,10.4289727922
28,0.8729458918,292.0570192868,292.4605267307,294.8738098848,1.6555685571,9.9316585936
29,0.8719438878,292.0570192868,292.8030675872,294.9288679155,1.3656971658,9.6981079828
30,0.8709418838,292.0570192868,292.1068532569,294.9613486877,1.8976054634,9.7688641987
31,0.8699398798,292.0570192868,292.2459117582,294.7700253005,1.6834977685,9.5044510302
32,0.8689378758,291.9369658093,291.9369658093,294.8046061340,1.6370677222,9.3683392158
33,0.8679358717,291.9369658093,292.5331117294,294.5809773658,1.6181727095,9.0485549107
34,0.8669338677,291.9369658093,292.0424621294,294.6743945311,1.5869519211,9.1623314220
35,0.8659318637,291.9369658093,292.2874698197,294.5726835981,1.5544256422,9.0834435151
36,0.8649298597,291.7540115817,291.7540115817,294.8973384859,1.7621925864,8.9308841607
37,0.8639278557,291.6841763032,291.6841763032,294.5172460378,1.5971638342,9.5628107899
38,0.8629258517,291.6841763032,292.0043457539,294.0923498080,1.4256285145,9.6262813549
39,0.8619238477,291.1715046389,291.1715046389,293.9492052946,1.6038258189,9.7891760102
40,0.8609218437,291.1715046389,291.5527560956,293.9661219716,1.2822029431,9.3357021469
41,0.8599198397,291.1715046389,291.7730731008,294.6384778051,1.8012180518,9.2585158679
42,0.8589178357,290.9827209107,290.9827209107,293.8186682738,1.6210497652,9.5333469595
43,0.8579158317,290.2926078433,290.2926078433,293.3666896307,1.7474743864,10.0236481727
44,0.8569138277,290.2926078433,290.3988395185,293.3520141172,1.6864341892,9.9127132197
45,0.8559118236,290.2926078433,290.5755344548,293.0137192049,1.4344906553,8.7083767195
46,0.8549098196,290.2926078433,290.7676737653,293.4186761037,1.8066529924,9.2149935536
47,0.8539078156,290.2926078433,290.5814351681,293.0556184694,1.5940863205,8.9144092536
48,0.8529058116,289.8669000889,289.8669000889,292.8990256108,1.3701567182,8.6354181164
49,0.8519038076,289.6993471840,289.6993471840,292.4477229018,1.3739865056,7.7235857063
50,0.8509018036,289.6993471840,289.9118743919,292.7447688902,1.5299845851,8.2106774948
51,0.8498997996,289.6993471840,289.7283138402,292.5737191513,1.5953713499,7.9682759508
52,0.8488977956,289.6993471840,289.7028830714,292.5962374936,1.6533030882,8.2220086380
53,0.8478957916,289.6993471840,290.0077368035,292.4330947413,1.4483273874,8.1449727208
54,0.8468937876,289.6993471840,290.0044425627,292.4649475814,1.5772068870,7.7324134843
55,0.8458917836,289.6993471840,289.8457972712,292.3629920123,1.5475946717,7.5906195290
56,0.8448897796,289.6993471840,289.9363603298,292.3108837343,1.5310975587,7.2958951006
57,0.8438877756,289.6993471840,289.7540059106,292.2962172950,1.2799290264,7.6317463575
