iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
0,0.9000000000,144.6957803233,144.6957803233,158.6036752894,5.1281180197,28.1372750932
1,0.9000000000,144.6957803233,146.6038030777,152.5120871665,2.9811564251,26.5002113480
2,0.8989979960,144.6957803233,147.2970674869,152.3349119470,3.0318446688,24.2851872656
3,0.8979959920,144.6957803233,144.7309215123,149.3946410182,2.5024180406,18.8811247131
4,0.8969939880,142.9123686680,142.9123686680,147.0557489837,2.3387462596,20.9883947273
5,0.8959919840,142.3051033534,142.3051033534,145.8458471981,3.2224574862,22.7560916436
6,0.8949899800,142.1974314739,142.1974314739,144.7090694386,1.4622276703,19.4295505280
7,0.8939879760,142.1974314739,142.5180552339,144.9519685773,1.6554224217,16.2930843485
8,0.8929859719,142.0798749553,142.0798749553,144.4044497704,1.0955620312,16.8858694420
9,0.8919839679,142.0798749553,142.5634200262,144.2774998581,1.0198128500,16.1997175928
10,0.8909819639,141.9900456090,141.9900456090,144.2363578542,1.1101040692,15.6813767641
11,0.8899799599,141.8137522343,141.8137522343,144.6597337109,1.5892806995,16.2545193823
12,0.8889779559,141.6772792303,141.6772792303,143.9768878617,1.3471788648,18.0431260203
13,0.8879759519,141.6772792303,141.9209935789,143.4061922740,0.8640807531,16.9743487416
14,0.8869739479,141.6772792303,141.7067237994,143.5193055195,0.8173886823,15.8154376534
15,0.8859719439,141.3111626385,141.3111626385,143.5009090945,0.9720826376,16.6640551817
16,0.8849699399,141.3111626385,142.1301678107,143.5002801683,0.8677408136,15.4304626932
17,0.8839679359,141.0026003991,141.0026003991,143.6148027468,1.7122992784,15.2793556207
18,0.8829659319,141.0026003991,141.5491888346,143.3445249242,0.9235892072,15.5629212182
19,0.8819639279,140.8822756967,140.8822756967,142.9169392623,1.1816751046,14.9569327068
20,0.8809619238,140.6549796057,140.6549796057,142.8845877409,1.0443316827,14.3830358782
21,0.8799599198,140.6549796057,140.8852003320,142.6420333341,0.9574609087,13.7469333707
22,0.8789579158,140.2148768268,140.2148768268,142.8148361092,0.9737849280,13.2857982244
23,0.8779559118,140.2148768268,140.8040009750,142.6918353144,0.8334607331,12.7450629641
24,0.8769539078,140.2148768268,140.2679339317,142.5000816948,0.8898125234,12.6096540176
25,0.8759519038,140.2148768268,140.4401502577,142.3731005255,0.8815759687,12.5197772906
26,0.8749498998,140.2148768268,140.2263501648,142.5005440364,1.0072076029,12.0557935646
27,0.8739478958,140.2148768268,140.7484698154,142.5260408342,0.9587737655,11.8536554655
28,0.8729458918,140.2148768268,140.4868378074,142.3086318196,0.9682554228,11.6675010948
29,0.8719438878,139.9724488495,139.9724488495,142.2145126406,1.0845956475,11.5890020249
30,0.8709418838,139.9724488495,140.1009605035,142.1831171430,1.1206585138,13.1503255309
31,0.8699398798,139.9724488495,140.2221853030,142.8146681110,1.3757115861,12.2465301808
32,0.8689378758,139.4746690357,139.4746690357,142.2854484767,1.1027213838,13.8659928959
33,0.8679358717,139.4746690357,139.9685439821,142.3408052365,1.1086202133,13.3058589083
34,0.8669338677,139.4746690357,139.8734793650,142.2277748289,0.9443621862,11.9245494801
35,0.8659318637,139.4746690357,140.1727148013,142.1342554642,0.9495416810,12.8155277816
36,0.8649298597,139.4746690357,139.8623129013,142.2392418863,1.1309780657,12.9640923524
37,0.8639278557,139.4746690357,139.6181481358,142.0168638935,1.0354826038,12.3391068255
38,0.8629258517,139.2867041735,139.2867041735,141.8222712964,0.8699379460,12.0461751704
39,0.8619238477,139.2867041735,139.7980556803,141.8965140741,1.0400496698,11.8403973180
40,0.8609218437,139.2867041735,139.6286819003,141.4555751232,0.8291481009,11.0204824990
41,0.8599198397,139.2507776157,139.2507776157,141.7497902285,1.0904688961,11.7882341922
42,0.8589178357,139.2507776157,139.6706058006,141.6047518337,1.0092078797,11.0460291754
43,0.8579158317,139.2507776157,139.4679399582,141.5234591760,0.9708235740,10.4975128469
44,0.8569138277,139.2507776157,139.4234543840,141.4167284204,0.9578428995,10.8175850570
45,0.8559118236,139.2339922998,139.2339922998,141.2602761232,0.9706838308,10.6451334878
46,0.8549098196,139.2339922998,139.7247264263,141.2657970455,0.7360744143,10.4490865371
47,0.8539078156,139.0921982812,139.0921982812,141.2978602421,0.9109812991,10.4493827198
48,0.8529058116,139.0921982812,139.5284597867,141.4344564278,0.9856696733,10.4322220255
49,0.8519038076,139.0921982812,139.4952762506,141.2137592451,0.8406518239,10.2133249495
50,0.8509018036,139.0921982812,139.3976496501,141.2405980722,0.8540409802,10.5304627011
51,0.8498997996,139.0921982812,139.2618403816,141.2046140546,0.9580935083,11.0203839745
52,0.8488977956,139.0921982812,139.4198007323,141.2399428845,0.8845902943,10.6242683338
53,0.8478957916,139.0100277862,139.0100277862,141.1984385569,1.0554163813,10.1657490849
54,0.8468937876,139.0100277862,139.6817267024,141.1231239428,0.7900326947,9.7293683034
55,0.8458917836,139.0100277862,139.2418404457,141.1830729317,1.0521580009,10.0674617145
56,0.8448897796,138.8268338192,138.8268338192,141.1344656413,0.9800743589,10.5756976778
57,0.8438877756,138.8268338192,138.9806833167,140.9611369063,0.8192907798,9.7757740751
58,0.8428857715,138.8268338192,138.9264690698,140.9062755618,1.0107295820,9.7845644876
59,0.8418837675,138.8268338192,139.0204583208,140.8846216977,1.0019914424,9.4543181336
60,0.8408817635,138.8268338192,138.8712698474,140.6189267591,1.0347129219,9.2014802881
61,0.8398797595,138.8268338192,138.9012157782,140.7677602207,0.8705627362,9.2418951566
62,0.8388777555,138.8268338192,139.1776465806,140.6077646687,0.7114409537,8.5189907856
63,0.8378757515,138.8268338192,138.8384922158,140.3657520994,0.8211446525,7.9624665640
64,0.8368737475,138.8268338192,138.8432690180,140.4874185635,0.9340216748,8.4804905013
65,0.8358717435,138.8159399934,138.8159399934,140.4300514442,0.8592555056,8.6905704395
66,0.8348697395,138.7766063506,138.7766063506,140.3734151868,0.9254224379,8.3333226900
67,0.8338677355,138.7766063506,138.7919826878,140.4158433007,0.9001079912,7.9627465853
68,0.8328657315,138.7766063506,138.8386875746,140.3400851249,1.0467614441,8.5354071259
69,0.8318637275,138.7268648933,138.7268648933,140.3577897184,0.9593696940,8.4032920686
70,0.8308617234,138.7268648933,138.9526785073,140.6284805502,0.9644957349,8.0664976529
71,0.8298597194,138.6631305437,138.6631305437,140.2951272342,0.8463496782,8.2150407620
72,0.8288577154,138.6631305437,138.7030940980,140.5065305106,0.9006042056,8.0641560397
73,0.8278557114,138.6631305437,138.7498166125,140.3121448882,0.8880773501,8.3295393821
74,0.8268537074,138.6631305437,138.8457376896,140.3518322906,0.9404983010,8.3555603709
75,0.8258517034,138.6631305437,138.8059664920,140.3559264585,0.8101356711,7.7077634933
76,0.8248496994,138.6631305437,138.7221229481,140.2625570690,0.8296805541,7.3372596598
77,0.8238476954,138.6631305437,139.0086541352,140.3875896667,0.8062226998,7.9266105032
78,0.8228456914,138.6631305437,138.8723322556,140.2514240865,0.8956075884,7.3561908407
79,0.8218436874,138.6631305437,138.7054916771,140.2823432642,0.7683412814,7.5695864047
80,0.8208416834,138.6631305437,138.7667638728,140.3572384705,0.8563278058,7.5285210088
81,0.8198396794,138.6631305437,138.6929710286,140.1161028970,0.6780531608,7.6713519879
82,0.8188376754,138.6631305437,138.7062940163,140.2532180785,0.7724268653,7.3270372730
83,0.8178356713,138.6631305437,138.6996076904,140.3065145360,0.7810102588,7.2112058233
84,0.8168336673,138.6631305437,138.6840833401,140.2756075719,0.7190997271,7.2518038130
85,0.8158316633,138.6631305437,138.8929368062,140.2013986556,0.8337853515,6.8524082253
86,0.8148296593,138.6631305437,138.7752727492,140.1038499430,0.7230957922,6.5960869921
87,0.8138276553,138.6631305437,139.0099092860,140.2602498599,0.6401537765,6.8914543191
88,0.8128256513,138.6631305437,138.7864929449,140.2431289618,0.7564691721,6.8544501940
89,0.8118236473,138.6631305437,138.7705049178,140.1140040701,0.7417799699,7.2358379799
90,0.8108216433,138.6631305437,138.8154660190,139.9143683278,0.7619072669,6.6884251039
91,0.8098196393,138.6631305437,138.7336873604,140.0355124789,0.6954479971,6.3341281031
92,0.8088176353,138.6631305437,138.8371354756,140.0813656926,0.7031231208,6.5839651906
93,0.8078156313,138.6631305437,138.7366586017,139.9219881908,0.7293044573,6.3433131821
94,0.8068136273,138.6631305437,138.8558692918,139.8962992256,0.6349663146,6.5249225487
95,0.8058116232,138.6631305437,138.6937447373,139.8100128254,0.6302372277,6.3888881038
