iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
0,0.9000000000,167.6888869736,167.6888869736,171.3518295242,3.7275706489,28.1372750932
1,0.9000000000,167.5275776193,167.5275776193,169.2676548682,0.6966906055,27.1619263880
2,0.8989979960,167.5275776193,167.5896710471,169.6615125687,1.1241063323,25.2163102810
3,0.8979959920,167.3176313395,167.3176313395,169.2498771754,0.7766430840,21.3101385073
4,0.8969939880,167.3176313395,167.7022362470,169.1066504137,0.7629175102,21.3765276079
5,0.8959919840,167.2145552058,167.2145552058,168.8684424597,0.7256944192,23.8573946666
6,0.8949899800,167.2145552058,167.4014357234,168.8330218394,1.7410084489,22.7023703883
7,0.8939879760,167.2145552058,167.4498972679,168.6663815436,0.7843024245,19.9853776607
8,0.8929859719,167.2145552058,167.2965554892,168.3204336760,0.5741118345,19.8849753454
9,0.8919839679,167.0964732052,167.0964732052,168.2760251352,0.7434720468,19.7895630296
10,0.8909819639,167.0964732052,167.1838808423,168.2352603916,0.5377066780,19.2224879910
11,0.8899799599,167.0964732052,167.1764847465,168.2690643140,0.5232449966,17.8514356425
12,0.8889779559,167.0297884474,167.0297884474,168.1691649822,0.4936532990,17.0117030281
13,0.8879759519,167.0297884474,167.2810033223,168.3237173791,1.6382047224,17.4055505931
14,0.8869739479,167.0297884474,167.2887828434,168.4461807385,1.7145218791,17.2503979626
15,0.8859719439,167.0297884474,167.3742127111,168.1186551155,0.5669835952,17.0422382537
16,0.8849699399,167.0297884474,167.2658250673,168.2647367869,0.6710254110,17.5049233139
17,0.8839679359,167.0297884474,167.1649000117,168.1590728909,0.7262673069,17.3054023317
18,0.8829659319,167.0297884474,167.1995933957,168.1455441898,0.8662816484,16.7140502814
19,0.8819639279,167.0297884474,167.3429750113,168.0687188646,0.4802599931,15.9175981288
20,0.8809619238,167.0297884474,167.1072541767,168.0267794430,0.4723332396,15.9874895423
21,0.8799599198,167.0297884474,167.1569910015,168.0573258830,0.5234018662,16.1978673121
22,0.8789579158,167.0297884474,167.0607682556,167.9495104045,0.4218950498,16.0043150507
23,0.8779559118,167.0297884474,167.1846140810,167.9395294562,0.4646389014,15.3221889392
24,0.8769539078,167.0297884474,167.2569218581,168.0662836379,0.4825077083,15.4787003927
25,0.8759519038,167.0297884474,167.2119313346,168.0115073572,0.6660464773,14.7986815903
26,0.8749498998,167.0297884474,167.1949199459,167.9189170341,0.4641285659,14.5910344673
27,0.8739478958,166.9368415871,166.9368415871,167.9107781340,0.5083956089,15.6087475176
28,0.8729458918,166.9368415871,167.1366272580,167.8431022962,0.3756550502,14.8937337122
29,0.8719438878,166.9368415871,167.1556092565,167.8537174425,0.4506100235,15.7092726975
30,0.8709418838,166.9368415871,167.3472939782,167.8912344132,0.3675936876,15.6534666352
