iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
0,0.9000000000,351.7285169942,351.7285169942,364.5760642864,9.3764440421,28.1372750932
1,0.9000000000,351.3421039984,351.3421039984,355.5093063233,5.5656119624,26.3521897824
2,0.8989979960,351.3073111649,351.3073111649,353.5059167231,1.8645612014,23.9271245742
3,0.8979959920,351.3073111649,351.7741121469,352.8332697357,0.7485389568,18.8975420623
4,0.8969939880,351.2244801179,351.2244801179,352.2482708845,0.6514743376,18.4719343538
5,0.8959919840,351.0652000358,351.0652000358,352.4133430089,0.8850579766,19.2868689925
6,0.8949899800,351.0652000358,351.1735722042,352.2518181902,0.9026023413,17.8701526474
7,0.8939879760,350.9816279696,350.9816279696,352.1870012719,0.8922468953,18.4902596650
8,0.8929859719,350.9816279696,351.0020435855,352.1386199546,0.7281337024,16.6936985706
9,0.8919839679,350.4351691535,350.4351691535,352.1627498540,0.6702087179,16.7316127152
10,0.8909819639,350.4351691535,350.4472624751,352.0529048948,1.1897420337,20.9121813762
11,0.8899799599,350.4351691535,350.5673896977,351.9669740665,0.7950456416,19.3858176658
12,0.8889779559,350.4351691535,350.5950753518,351.6367203940,0.5585863627,19.4129157327
13,0.8879759519,350.4351691535,350.8531270752,351.7614875630,0.7196018814,19.5901283136
14,0.8869739479,350.4351691535,350.5136363129,351.5798100071,0.8168732391,18.9266009040
15,0.8859719439,350.4351691535,350.6515035190,351.5921061787,0.6658939671,18.1386658195
16,0.8849699399,350.3672898986,350.3672898986,351.4279635170,0.6379440511,18.2808669892
17,0.8839679359,350.3285694266,350.3285694266,351.5360592367,0.6937713049,17.4852307990
18,0.8829659319,350.3285694266,350.5192631285,351.5163186872,0.5730783411,16.0482300495
19,0.8819639279,350.1368203675,350.1368203675,351.4516057698,0.6240025796,17.5051172529
20,0.8809619238,350.1368203675,350.5774327480,351.6899611900,0.7009662099,17.0895905371
21,0.8799599198,350.1368203675,350.4674807947,351.6046365585,0.7077654624,17.1104180967
22,0.8789579158,350.1368203675,350.3952763588,351.4529492317,0.6235406296,16.9739250524
23,0.8779559118,350.1368203675,350.3926990911,351.6215477332,0.6950734301,17.1512005744
24,0.8769539078,350.1368203675,350.3301283205,351.3533063394,0.7141369309,16.6407754272
25,0.8759519038,350.1368203675,350.3913521144,351.5510707550,0.7183435262,16.2514105558
26,0.8749498998,350.1368203675,350.2906931572,351.3236146643,0.7113069476,16.3474532338
27,0.8739478958,350.0057312751,350.0057312751,351.2885209819,0.9445007770,16.1815475798
28,0.8729458918,350.0057312751,350.0794029427,351.3098030273,1.1122328877,15.0342418638
29,0.8719438878,349.8076837161,349.8076837161,351.1080594548,0.9400377633,14.5948711120
30,0.8709418838,349.8076837161,350.0983616274,351.0522920171,0.6983948931,14.7822837154
31,0.8699398798,349.8076837161,349.9060258947,351.0037423077,0.7019539630,14.6022946191
32,0.8689378758,349.8076837161,349.9792116003,351.0561913939,0.7093069933,14.4971158793
33,0.8679358717,349.8076837161,350.1247263583,350.9927752806,0.8503682813,14.1125939024
34,0.8669338677,349.8076837161,350.0113058166,351.1101989463,0.7893585028,13.6315615409
35,0.8659318637,349.8076837161,349.9824082637,350.9971705125,0.6946627133,13.2597634961
36,0.8649298597,349.8076837161,350.0178435388,350.8338478683,0.6895383268,13.0462752733
37,0.8639278557,349.8076837161,349.8966609881,350.7133401175,0.4504000043,12.6064507241
38,0.8629258517,349.8076837161,349.9251669790,350.8736938733,0.9531264154,12.3630614283
39,0.8619238477,349.8076837161,349.9198236041,350.9281152738,0.7197884315,12.2842775130
40,0.8609218437,349.8076837161,349.9027962437,350.7325871419,0.5449912813,11.4767313342
41,0.8599198397,349.8076837161,349.8577856711,350.8516853082,0.5652991330,11.8078392160
42,0.8589178357,349.8076837161,350.0052309758,350.7434400132,0.5145894759,11.5602033496
43,0.8579158317,349.7648849966,349.7648849966,350.7804352207,0.4668067302,11.4799049881
44,0.8569138277,349.7648849966,349.7908891019,350.6985054184,0.5222063462,11.3482963095
45,0.8559118236,349.7648849966,349.8733249908,350.7525321869,0.7163524168,11.2595708088
46,0.8549098196,349.7648849966,349.8185686577,350.6466485670,0.4172813340,11.2849573787
47,0.8539078156,349.7588711257,349.7588711257,350.6000533112,0.4714113389,11.3965507641
48,0.8529058116,349.7588711257,350.0639904750,350.6180014925,0.4633886534,11.1727111682
49,0.8519038076,349.7588711257,349.7821927497,350.6340580545,0.5094437207,10.7852475730
50,0.8509018036,349.7588711257,349.8525923514,350.6521484441,0.5120829935,11.4064183008
51,0.8498997996,349.7364096452,349.7364096452,350.5274860208,0.4458633797,11.4801401370
52,0.8488977956,349.7364096452,349.9828898675,350.8660265669,0.8336428879,10.9108563924
53,0.8478957916,349.7364096452,349.9039948556,350.7332379261,0.7867927626,10.1417274983
54,0.8468937876,349.7364096452,349.9520817400,350.8127372406,0.8585524123,10.7688996534
