Time,總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,4.31377,0.0,1.65601,0.50112,1.05255,1.10296
00:15,5.56832,-0.0,2.91047,0.50112,1.05255,1.10296
00:30,9.88212,-0.0,4.5665,1.00224,2.1051,2.20593
00:45,11.13667,-0.0,5.82095,1.00224,2.1051,2.20593
01:00,15.45047,-0.0,7.47698,1.50336,3.15765,3.30889
01:15,16.70502,-0.0,8.73144,1.50336,3.15765,3.30889
01:30,20.6874,-0.0,10.05622,2.00448,4.21021,4.41186
01:45,20.6874,-0.0,10.05622,2.00448,4.21021,4.41186
02:00,23.74508,-0.0,10.45671,2.50559,5.26275,5.51481
02:15,23.74508,-0.0,10.45671,2.50559,5.26275,5.51481
02:30,26.80275,-0.0,10.85721,3.00671,6.31529,6.61777
02:45,26.80275,-0.0,10.85721,3.00671,6.31529,6.61777
03:00,29.86042,-0.0,11.2577,3.50782,7.36784,7.72072
03:15,29.86042,-0.0,11.2577,3.50782,7.36784,7.72072
03:30,32.9181,-0.0,11.6582,4.00894,8.42038,8.82367
03:45,32.9181,-0.0,11.6582,4.00894,8.42038,8.82367
04:00,35.97577,-0.0,12.05869,4.51005,9.47293,9.92663
04:15,35.97577,-0.0,12.05869,4.51005,9.47293,9.92663
04:30,39.03345,-0.0,12.45919,5.01117,10.52547,11.02958
04:45,39.03345,-0.0,12.45919,5.01117,10.52547,11.02958
05:00,42.09112,-0.0,12.85968,5.51228,11.57801,12.13254
05:15,42.09112,-0.0,12.85968,5.51228,11.57801,12.13254
05:30,45.1488,-0.0,13.26018,6.0134,12.63056,13.23549
05:45,45.1488,-0.0,13.26018,6.0134,12.63056,13.23549
06:00,48.16517,0.04125,13.61939,6.51451,13.6831,14.33845
06:15,48.04287,0.1636,13.49709,6.51451,13.6831,14.33845
06:30,50.90156,0.36245,13.69867,7.01563,14.73564,15.4414
06:45,50.65177,0.61244,13.44888,7.01563,14.73564,15.4414
07:00,53.45931,0.86244,13.59933,7.51674,15.78818,16.54435
07:15,53.20952,1.11243,13.34954,7.51674,15.78818,16.54435
07:30,56.01706,1.36243,13.49999,8.01786,16.84073,17.6473
07:45,55.76727,1.61242,13.2502,8.01786,16.84073,17.6473
08:00,58.57481,1.86242,13.40065,8.51897,17.89327,18.75025
08:15,58.32502,2.11241,13.15086,8.51897,17.89327,18.75025
08:30,61.13256,2.36241,13.30132,9.02009,18.94581,19.85321
08:45,60.88277,2.6124,13.05152,9.02009,18.94581,19.85321
09:00,63.69031,2.8624,13.20198,9.5212,19.99835,20.95616
09:15,63.12972,3.11237,12.64136,9.5212,19.99835,20.95616
09:30,66.28284,3.36237,13.13727,10.02232,21.05089,22.05911
09:45,66.03305,3.61236,12.88748,10.02232,21.05089,22.05911
10:00,68.84059,3.86236,13.03793,10.52343,22.10344,23.16207
10:15,68.5908,4.11235,12.78814,10.52343,22.10344,23.16207
10:30,71.2908,4.36235,12.83109,11.02455,23.15598,24.26502
10:45,71.16008,4.61235,12.70037,11.02455,23.15598,24.26502
11:00,73.96762,4.86235,12.85082,11.52566,24.20852,25.36797
11:15,73.71783,5.11234,12.60103,11.52566,24.20852,25.36797
11:30,76.52537,5.36234,12.75148,12.02678,25.26106,26.47092
11:45,76.25092,5.61232,12.47703,12.02678,25.26106,26.47092
12:00,79.08587,5.86232,12.65488,12.52789,26.3136,27.57387
12:15,78.83608,6.11232,12.40509,12.52789,26.3136,27.57387
12:30,81.64362,6.36231,12.55554,13.02901,27.36614,28.67682
12:45,81.39383,6.61231,12.30575,13.02901,27.36614,28.67682
13:00,84.12355,6.86231,12.37842,13.53012,28.41868,29.77978
13:15,83.9599,7.1123,12.21476,13.53012,28.41868,29.77978
13:30,86.63286,7.3623,12.23068,14.03123,29.47122,30.88273
13:45,86.53209,7.6123,12.12992,14.03123,29.47122,30.88273
14:00,89.1283,7.8623,12.06911,14.53235,30.52376,31.98568
14:15,89.11264,8.1123,12.05346,14.53235,30.52376,31.98568
14:30,91.92018,8.3623,12.20391,15.03346,31.57631,33.08863
14:45,91.67039,8.61229,11.95412,15.03346,31.57631,33.08863
15:00,94.47793,8.86229,12.10457,15.53458,32.62885,34.19158
15:15,94.22815,9.11228,11.85478,15.53458,32.62885,34.19158
15:30,97.03568,9.36228,12.00524,16.03569,33.68139,35.29453
15:45,96.7859,9.61227,11.75544,16.03569,33.68139,35.29453
16:00,99.59344,9.86227,11.9059,16.53681,34.73393,36.39748
16:15,99.34365,10.11226,11.65611,16.53681,34.73393,36.39748
16:30,102.15119,10.36226,11.80656,17.03792,35.78647,37.50044
16:45,101.9014,10.61225,11.55677,17.03792,35.78647,37.50044
17:00,104.70894,10.86225,11.70722,17.53904,36.83901,38.60339
17:15,103.43838,11.06768,10.43656,17.53904,36.83901,38.60339
17:30,106.28772,11.19267,10.62881,18.04015,37.89155,39.70634
17:45,105.01714,11.23563,9.35813,18.04015,37.89155,39.70634
18:00,107.74966,11.23563,9.4336,18.54126,38.94409,40.80929
18:15,107.42499,11.23563,9.10893,18.54126,38.94409,40.80929
18:30,110.15752,11.23563,9.1844,19.04238,39.99664,41.91224
18:45,109.83285,11.23563,8.85972,19.04238,39.99664,41.91224
19:00,112.56537,11.23563,8.93519,19.54349,41.04918,43.01519
19:15,112.2407,11.23563,8.61051,19.54349,41.04918,43.01519
19:30,114.97323,11.23563,8.68598,20.04461,42.10172,44.11814
19:45,114.64856,11.23563,8.3613,20.04461,42.10172,44.11814
20:00,117.38109,11.23563,8.43677,20.54572,43.15426,45.22109
20:15,117.05642,11.23563,8.1121,20.54572,43.15426,45.22109
20:30,119.78894,11.23563,8.18757,21.04683,44.2068,46.32404
20:45,119.46427,11.23563,7.86289,21.04683,44.2068,46.32404
21:00,122.1968,11.23563,7.93836,21.54795,45.25934,47.42699
21:15,121.87213,11.23563,7.61368,21.54795,45.25934,47.42699
21:30,124.60466,11.23563,7.68915,22.04906,46.31188,48.52994
21:45,124.27999,11.23563,7.36448,22.04906,46.31188,48.52994
22:00,127.33766,11.23563,7.76497,22.55018,47.36442,49.6329
22:15,127.33766,11.23563,7.76497,22.55018,47.36442,49.6329
22:30,130.39533,11.23563,8.16547,23.05129,48.41697,50.73585
22:45,130.39533,11.23563,8.16547,23.05129,48.41697,50.73585
23:00,133.45301,11.23563,8.56596,23.55241,49.46951,51.83881
23:15,133.45301,11.23563,8.56596,23.55241,49.46951,51.83881
23:30,136.51068,11.23563,8.96646,24.05352,50.52205,52.94176
23:45,136.51068,11.23563,8.96646,24.05352,50.52205,52.94176
00:00,4.31377,0.0,1.65601,0.50112,1.05255,1.10296
00:15,5.56832,-0.0,2.91047,0.50112,1.05255,1.10296
00:30,9.88212,-0.0,4.5665,1.00224,2.1051,2.20593
00:45,11.13667,-0.0,5.82095,1.00224,2.1051,2.20593
01:00,15.45047,-0.0,7.47698,1.50336,3.15765,3.30889
01:15,16.70502,-0.0,8.73144,1.50336,3.15765,3.30889
01:30,20.6874,-0.0,10.05622,2.00448,4.21021,4.41186
01:45,20.6874,-0.0,10.05622,2.00448,4.21021,4.41186
02:00,23.74508,-0.0,10.45671,2.50559,5.26275,5.51481
02:15,23.74508,-0.0,10.45671,2.50559,5.26275,5.51481
02:30,26.80275,-0.0,10.85721,3.00671,6.31529,6.61777
02:45,26.80275,-0.0,10.85721,3.00671,6.31529,6.61777
03:00,29.86042,-0.0,11.2577,3.50782,7.36784,7.72072
03:15,29.86042,-0.0,11.2577,3.50782,7.36784,7.72072
03:30,32.9181,-0.0,11.6582,4.00894,8.42038,8.82367
03:45,32.9181,-0.0,11.6582,4.00894,8.42038,8.82367
04:00,35.97577,-0.0,12.05869,4.51005,9.47293,9.92663
