Time,總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,-0.0,0.0,0.0,0.0,0.0,0.0
00:15,-0.0,0.0,0.0,0.0,0.0,0.0
00:30,-0.0,0.0,0.0,0.0,0.0,0.0
00:45,-0.0,0.0,0.0,0.0,0.0,0.0
01:00,-0.0,0.0,0.0,0.0,0.0,0.0
01:15,-0.0,0.0,0.0,0.0,0.0,0.0
01:30,-0.0,0.0,0.0,0.0,0.0,0.0
01:45,-0.0,0.0,0.0,0.0,0.0,0.0
02:00,-0.0,0.0,0.0,0.0,0.0,0.0
02:15,-0.0,0.0,0.0,0.0,0.0,0.0
02:30,-0.0,0.0,0.0,0.0,0.0,0.0
02:45,-0.0,0.0,0.0,0.0,0.0,0.0
03:00,-0.0,0.0,0.0,0.0,0.0,0.0
03:15,-0.0,0.0,0.0,0.0,0.0,0.0
03:30,-0.0,0.0,0.0,0.0,0.0,0.0
03:45,-0.0,0.0,0.0,0.0,0.0,0.0
04:00,-0.0,0.0,0.0,0.0,0.0,0.0
04:15,-0.0,0.0,0.0,0.0,0.0,0.0
04:30,-0.0,0.0,0.0,0.0,0.0,0.0
04:45,-0.0,0.0,0.0,0.0,0.0,0.0
05:00,-0.0,0.0,0.0,0.0,0.0,0.0
05:15,-0.0,0.0,0.0,0.0,0.0,0.0
05:30,-0.0,0.0,0.0,0.0,0.0,0.0
05:45,-0.0,0.0,0.0,0.0,0.0,0.0
06:00,-0.0,0.04125,0.0,0.0,0.0,0.0
06:15,-0.0,0.1636,0.0,0.0,0.0,0.0
06:30,-0.0,0.36245,0.0,0.0,0.0,0.0
06:45,-0.0,0.642,0.0,0.0,0.0,0.0
07:00,-0.0,1.00175,0.0,0.0,0.0,0.0
07:15,-0.0,1.4424,0.0,0.0,0.0,0.0
07:30,-0.0,1.95575,0.0,0.0,0.0,0.0
07:45,-0.0,2.53947,0.0,0.0,0.0,0.0
08:00,2.60137,3.19628,0.14528,0.59158,0.98221,0.88188
08:15,5.13085,3.92516,0.21869,1.18317,1.96443,1.76378
08:30,7.59838,4.71616,0.23015,1.77475,2.94665,2.64567
08:45,10.00602,5.56723,0.18175,2.36633,3.92886,3.52756
09:00,12.35557,6.47658,0.07529,2.95792,4.91108,4.40944
09:15,14.65128,7.43998,-0.08501,3.5495,5.89329,5.29133
09:30,17.48327,7.8658,0.29088,4.14107,6.87548,6.17319
09:45,19.68256,8.92609,0.03414,4.73266,7.85771,7.0551
10:00,21.84154,10.02681,-0.26284,5.32424,8.83992,7.93699
10:15,23.96231,11.16592,-0.59801,5.91582,9.82214,8.81887
10:30,26.05493,12.33334,-0.96134,6.5074,10.80435,9.70076
10:45,28.12184,13.5266,-1.35037,7.09899,11.78656,10.58264
11:00,30.16275,14.746,-1.76538,7.69057,12.76877,11.46453
11:15,32.18958,15.97957,-2.19448,8.28215,13.75098,12.34641
11:30,34.20643,17.22317,-2.63355,8.87373,14.73319,13.2283
11:45,36.21691,18.47317,-3.07898,9.46531,15.7154,14.11018
12:00,38.2274,19.72317,-3.52441,10.05689,16.69761,14.99206
12:15,41.02283,20.18553,-3.18503,10.64844,17.67978,15.87391
12:30,43.31877,21.14874,-3.34514,11.24004,18.66201,16.75582
12:45,45.36043,22.36741,-3.75942,11.83162,19.64423,17.63771
13:00,47.42345,23.56458,-4.15233,12.4232,20.62644,18.51959
13:15,49.5151,24.73296,-4.51662,13.01478,21.60865,19.40148
13:30,51.63462,25.87333,-4.85305,13.60636,22.59086,20.28336
13:45,53.79058,26.97708,-5.15304,14.19794,23.57307,21.16525
14:00,55.98656,28.04062,-5.41303,14.78952,24.55528,22.04713
14:15,58.22721,29.05929,-5.62836,15.3811,25.53749,22.92901
14:30,60.51855,30.02705,-5.79301,15.97268,26.5197,23.8109
14:45,62.86251,30.94201,-5.90506,16.56426,27.50192,24.69278
15:00,65.52668,31.53587,-5.69697,17.15583,28.48411,25.57466
15:15,67.98713,32.33399,-5.69259,17.74742,29.46634,26.45655
15:30,70.51395,33.06552,-5.62183,18.339,30.44855,27.33844
15:45,73.1103,33.72737,-5.48157,18.93059,31.43076,28.22032
16:00,75.77917,34.31657,-5.26881,19.52217,32.41297,29.10221
16:15,78.52097,34.83275,-4.98315,20.11375,33.39519,29.9841
16:30,81.33264,35.279,-4.62764,20.70533,34.3774,30.86598
16:45,84.22579,35.64375,-4.19068,21.29691,35.35961,31.74787
17:00,87.1967,35.93075,-3.67598,21.8885,36.34183,32.62976
17:15,90.24924,36.13618,-3.07969,22.48008,37.32404,33.51164
17:30,93.38233,36.26116,-2.40288,23.07166,38.30625,34.39353
17:45,96.59759,36.30413,-1.64393,23.66325,39.28847,35.27542
18:00,99.85592,36.30413,-0.84194,24.25483,40.27069,36.15731
18:15,103.11426,36.30413,-0.03995,24.84642,41.25291,37.0392
18:30,106.3726,36.30413,0.76205,25.43801,42.23513,37.9211
18:45,109.63095,36.30413,1.56404,26.0296,43.21735,38.80299
19:00,112.88929,36.30413,2.36604,26.62118,44.19957,39.68489
19:15,116.14763,36.30413,3.16803,27.21277,45.18179,40.56678
19:30,119.40597,36.30413,3.97002,27.80436,46.16402,41.44867
19:45,122.66431,36.30413,4.77202,28.39595,47.14624,42.33057
20:00,125.92265,36.30413,5.57401,28.98754,48.12846,43.21246
20:15,129.18099,36.30413,6.37601,29.57912,49.11068,44.09436
20:30,132.43934,36.30413,7.178,30.17071,50.0929,44.97625
20:45,135.69768,36.30413,7.98,30.7623,51.07512,45.85814
21:00,138.95602,36.30413,8.78199,31.35389,52.05735,46.74004
21:15,142.21436,36.30413,9.58399,31.94548,53.03957,47.62193
21:30,145.4727,36.30413,10.38598,32.53706,54.02179,48.50383
21:45,148.73104,36.30413,11.18798,33.12865,55.00401,49.38572
22:00,151.98939,36.30413,11.98997,33.72024,55.98623,50.26761
22:15,155.24773,36.30413,12.79197,34.31183,56.96845,51.14951
22:30,158.50607,36.30413,13.59396,34.90342,57.95067,52.0314
22:45,161.76441,36.30413,14.39596,35.495,58.9329,52.91329
23:00,165.02275,36.30413,15.19795,36.08659,59.91512,53.79519
23:15,168.28109,36.30413,15.99995,36.67818,60.89734,54.67708
23:30,171.53943,36.30413,16.80194,37.26977,61.87956,55.55898
23:45,174.79778,36.30413,17.60393,37.86136,62.86178,56.44087
