Time,soc,battery_power_kw,current_a
00:00,47.74,1.72,7.83
00:15,45.47,1.72,7.83
00:30,43.21,1.72,7.83
00:45,40.95,1.72,7.83
01:00,38.68,1.72,7.83
01:15,36.42,1.72,7.83
01:30,34.16,1.72,7.83
01:45,31.89,1.72,7.83
02:00,29.63,1.72,7.83
02:15,27.37,1.72,7.83
02:30,25.11,1.72,7.83
02:45,22.84,1.72,7.83
03:00,20.58,1.72,7.83
03:15,18.32,1.72,7.83
03:30,18.32,-0.0,0.0
03:45,18.32,-0.0,0.0
04:00,18.32,-0.0,0.0
04:15,18.32,-0.0,0.0
04:30,18.32,-0.0,0.0
04:45,18.32,-0.0,0.0
05:00,18.32,-0.0,0.0
05:15,18.32,-0.0,0.0
05:30,18.32,-0.0,0.0
05:45,18.32,-0.0,0.0
06:00,18.32,-0.0,0.0
06:15,18.32,-0.0,0.0
06:30,18.32,-0.0,0.0
06:45,18.32,-0.0,0.0
07:00,18.32,-0.0,0.0
07:15,18.7,-0.32,1.47
07:30,19.43,-0.61,2.79
07:45,20.49,-0.89,4.08
08:00,22.42,-1.63,7.39
08:15,24.7,-1.92,8.7
08:30,27.27,-2.16,9.83
08:45,30.12,-2.4,10.93
09:00,33.25,-2.64,11.98
09:15,36.64,-2.85,12.97
09:30,37.48,-0.7,3.2
09:45,41.33,-3.24,14.73
10:00,45.37,-3.4,15.46
10:15,49.59,-3.56,16.16
10:30,53.95,-3.67,16.67
10:45,58.43,-3.77,17.14
11:00,63.03,-3.88,17.62
11:15,67.71,-3.93,17.88
11:30,72.43,-3.97,18.06
11:45,77.18,-4.0,18.18
12:00,81.07,-3.28,14.94
12:15,81.23,-0.13,0.59
12:30,83.76,-2.13,9.71
12:45,87.79,-3.39,15.46
13:00,92.01,-3.55,16.17
13:15,96.08,-3.43,15.64
13:30,100.0,-3.32,15.13
13:45,100.0,-0.0,0.0
14:00,93.42,5.0,22.68
14:15,86.84,5.0,22.69
14:30,80.26,5.0,22.69
14:45,73.68,5.0,22.69
15:00,67.11,5.0,22.73
15:15,60.53,5.0,22.71
15:30,53.95,5.0,22.71
15:45,47.37,5.0,22.72
16:00,48.46,-0.92,4.18
16:15,49.2,-0.62,2.84
16:30,49.61,-0.35,1.57
16:45,49.61,-0.0,0.0
17:00,49.22,0.29,1.33
17:15,48.41,0.62,2.82
17:30,47.44,0.74,3.37
17:45,46.03,1.07,4.87
18:00,43.51,1.92,8.74
18:15,40.98,1.92,8.74
18:30,38.77,1.68,7.65
18:45,36.87,1.44,6.56
19:00,34.4,1.88,8.56
19:15,31.93,1.88,8.56
19:30,29.45,1.88,8.56
19:45,26.98,1.88,8.56
20:00,24.14,2.16,9.83
20:15,21.29,2.16,9.83
20:30,18.77,1.92,8.74
20:45,18.77,-0.0,0.0
21:00,18.77,-0.0,0.0
21:15,18.77,-0.0,0.0
21:30,18.77,-0.0,0.0
21:45,18.77,-0.0,0.0
22:00,18.77,-0.0,0.0
22:15,18.77,-0.0,0.0
22:30,18.77,-0.0,0.0
22:45,18.77,-0.0,0.0
23:00,18.77,-0.0,0.0
23:15,18.77,-0.0,0.0
23:30,18.77,-0.0,0.0
23:45,18.77,-0.0,0.0
