Time,總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,4.31377,0.0,1.65601,0.50112,1.05255,1.10296
00:15,5.56832,-0.0,2.91047,0.50112,1.05255,1.10296
00:30,9.88212,-0.0,4.5665,1.00224,2.1051,2.20593
00:45,11.13667,-0.0,5.82095,1.00224,2.1051,2.20593
01:00,15.45047,-0.0,7.47698,1.50336,3.15765,3.30889
01:15,16.70502,-0.0,8.73144,1.50336,3.15765,3.30889
01:30,20.6874,-0.0,10.05622,2.00448,4.21021,4.41186
01:45,20.6874,-0.0,10.05622,2.00448,4.21021,4.41186
02:00,23.74508,-0.0,10.45671,2.50559,5.26275,5.51481
02:15,23.74508,-0.0,10.45671,2.50559,5.26275,5.51481
02:30,26.80275,-0.0,10.85721,3.00671,6.31529,6.61777
02:45,26.80275,-0.0,10.85721,3.00671,6.31529,6.61777
03:00,29.86042,-0.0,11.2577,3.50782,7.36784,7.72072
03:15,29.86042,-0.0,11.2577,3.50782,7.36784,7.72072
03:30,32.9181,-0.0,11.6582,4.00894,8.42038,8.82367
03:45,32.9181,-0.0,11.6582,4.00894,8.42038,8.82367
04:00,35.97577,-0.0,12.05869,4.51005,9.47293,9.92663
04:15,35.97577,-0.0,12.05869,4.51005,9.47293,9.92663
04:30,39.03345,-0.0,12.45919,5.01117,10.52547,11.02958
04:45,39.03345,-0.0,12.45919,5.01117,10.52547,11.02958
05:00,42.09112,-0.0,12.85968,5.51228,11.57801,12.13254
05:15,42.09112,-0.0,12.85968,5.51228,11.57801,12.13254
05:30,45.1488,-0.0,13.26018,6.0134,12.63056,13.23549
05:45,45.1488,-0.0,13.26018,6.0134,12.63056,13.23549
06:00,48.16517,0.04125,13.61939,6.51451,13.6831,14.33845
06:15,48.04287,0.1636,13.49709,6.51451,13.6831,14.33845
06:30,50.90156,0.36245,13.69867,7.01563,14.73564,15.4414
06:45,50.65177,0.61244,13.44888,7.01563,14.73564,15.4414
07:00,53.45931,0.86244,13.59933,7.51674,15.78818,16.54435
07:15,53.20952,1.11243,13.34954,7.51674,15.78818,16.54435
07:30,56.01706,1.36243,13.49999,8.01786,16.84073,17.6473
07:45,55.76727,1.61242,13.2502,8.01786,16.84073,17.6473
08:00,58.57481,1.86242,13.40065,8.51897,17.89327,18.75025
08:15,58.32502,2.11241,13.15086,8.51897,17.89327,18.75025
08:30,61.13256,2.36241,13.30132,9.02009,18.94581,19.85321
08:45,60.88277,2.6124,13.05152,9.02009,18.94581,19.85321
09:00,63.69031,2.8624,13.20198,9.5212,19.99835,20.95616
09:15,63.12972,3.11237,12.64136,9.5212,19.99835,20.95616
09:30,66.28284,3.36237,13.13727,10.02232,21.05089,22.05911
09:45,66.03305,3.61236,12.88748,10.02232,21.05089,22.05911
10:00,68.84059,3.86236,13.03793,10.52343,22.10344,23.16207
10:15,68.5908,4.11235,12.78814,10.52343,22.10344,23.16207
10:30,71.2908,4.36235,12.83109,11.02455,23.15598,24.26502
10:45,71.16008,4.61235,12.70037,11.02455,23.15598,24.26502
11:00,73.96762,4.86235,12.85082,11.52566,24.20852,25.36797
11:15,73.71783,5.11234,12.60103,11.52566,24.20852,25.36797
11:30,76.52537,5.36234,12.75148,12.02678,25.26106,26.47092
11:45,76.25092,5.61232,12.47703,12.02678,25.26106,26.47092
12:00,78.90795,6.86233,12.47703,12.52789,26.3136,27.57387
12:15,78.90795,7.32483,12.47703,12.52789,26.3136,27.57387
12:30,81.56498,8.57483,12.47703,13.029,27.36614,28.67682
12:45,81.56498,9.79229,12.47703,13.029,27.36614,28.67682
13:00,84.22202,11.04229,12.47703,13.53012,28.41868,29.77977
13:15,84.22202,12.20976,12.47703,13.53012,28.41868,29.77977
13:30,86.87905,13.45976,12.47703,14.03123,29.47122,30.88272
13:45,86.87905,14.56474,12.47703,14.03123,29.47122,30.88272
14:00,89.53608,15.81474,12.47703,14.53235,30.52376,31.98567
14:15,89.53608,16.83222,12.47703,14.53235,30.52376,31.98567
14:30,92.19311,18.08222,12.47703,15.03346,31.5763,33.08862
14:45,92.19311,18.99721,12.47703,15.03346,31.5763,33.08862
15:00,94.00418,20.24721,11.63131,15.53457,32.62884,34.19157
15:15,92.75941,21.49699,10.38644,15.53457,32.62884,34.19157
15:30,94.57047,22.74699,9.54073,16.03568,33.68137,35.29451
15:45,93.3257,23.99678,8.29586,16.03568,33.68137,35.29451
16:00,95.13676,25.24677,7.45014,16.53679,34.7339,36.39745
16:15,93.89199,26.49656,6.20528,16.53679,34.7339,36.39745
16:30,95.70305,27.74656,5.35956,17.0379,35.78643,37.50039
16:45,94.45828,28.99634,4.11469,17.0379,35.78643,37.50039
17:00,96.26934,30.24634,3.26897,17.53902,36.83897,38.60333
17:15,94.18497,31.27351,1.18435,17.53902,36.83897,38.60333
17:30,96.53516,31.89842,0.87761,18.04013,37.8915,39.70628
17:45,95.09399,32.11326,-0.56368,18.04013,37.8915,39.70628
18:00,97.82652,32.11326,-0.48821,18.54124,38.94404,40.80923
18:15,97.50185,32.11326,-0.81289,18.54124,38.94404,40.80923
18:30,100.23437,32.11326,-0.73742,19.04236,39.99658,41.91218
18:45,99.9097,32.11326,-1.0621,19.04236,39.99658,41.91218
19:00,102.64223,32.11326,-0.98663,19.54347,41.04912,43.01513
19:15,102.31756,32.11326,-1.3113,19.54347,41.04912,43.01513
19:30,105.05008,32.11326,-1.23583,20.04458,42.10166,44.11808
19:45,104.72541,32.11326,-1.56051,20.04458,42.10166,44.11808
20:00,107.45794,32.11326,-1.48504,20.5457,43.1542,45.22103
20:15,107.13327,32.11326,-1.80972,20.5457,43.1542,45.22103
20:30,109.8658,32.11326,-1.73425,21.04681,44.20675,46.32398
20:45,109.54113,32.11326,-2.05892,21.04681,44.20675,46.32398
21:00,112.5988,32.11326,-1.65843,21.54793,45.25929,47.42693
21:15,112.5988,32.11326,-1.65843,21.54793,45.25929,47.42693
21:30,115.65648,32.11326,-1.25793,22.04904,46.31183,48.52989
21:45,115.65648,32.11326,-1.25793,22.04904,46.31183,48.52989
22:00,118.71415,32.11326,-0.85744,22.55016,47.36438,49.63284
22:15,118.71415,32.11326,-0.85744,22.55016,47.36438,49.63284
22:30,121.77183,32.11326,-0.45694,23.05127,48.41692,50.7358
22:45,121.77183,32.11326,-0.45694,23.05127,48.41692,50.7358
23:00,124.8295,32.11326,-0.05645,23.55239,49.46946,51.83875
23:15,124.8295,32.11326,-0.05645,23.55239,49.46946,51.83875
23:30,127.88718,32.11326,0.34405,24.0535,50.52201,52.94171
23:45,127.88718,32.11326,0.34405,24.0535,50.52201,52.94171
