Time,Hour,Minute,電池_SOC(%),供電模式,EP_匯流排電壓_L1(V),EP_匯流排電壓_L2(V),EP_總電流_L1(A),EP_總電流_L2(A),L1_匯流排電壓_L1(V),L1_匯流排電壓_L2(V),L1_總電流_L1(A),L1_總電流_L2(A),L2_匯流排電壓_L1(V),L2_匯流排電壓_L2(V),L2_總電流_L1(A),L2_總電流_L2(A),L3_匯流排電壓_L1(V),L3_匯流排電壓_L2(V),L3_總電流_L1(A),L3_總電流_L2(A),總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,0,0,50.0,市電供電,109.795,109.807,14.98,15.89,109.646,109.652,4.56,4.56,109.63,109.635,6.39,6.39,109.642,109.648,5.02,5.02,0.02922,-0.0,-0.84652,0.25028,0.35028,0.27518
00:15,0,15,43.06,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,0.02922,-0.0,-0.84652,0.25028,0.35028,0.27518
00:30,0,30,43.06,市電供電,109.795,109.807,14.98,15.89,109.646,109.652,4.56,4.56,109.63,109.635,6.39,6.39,109.642,109.648,5.02,5.02,0.05847,-0.0,-1.69297,0.50054,0.70054,0.55035
00:45,0,45,36.11,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,0.05847,-0.0,-1.69297,0.50054,0.70054,0.55035
01:00,1,0,36.11,市電供電,109.795,109.807,14.98,15.89,109.646,109.652,4.56,4.56,109.63,109.635,6.39,6.39,109.642,109.648,5.02,5.02,0.08772,-0.0,-2.53942,0.7508,1.05081,0.82553
01:15,1,15,29.17,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,0.08772,-0.0,-2.53942,0.7508,1.05081,0.82553
01:30,1,30,29.17,市電供電,109.795,109.807,14.98,15.89,109.646,109.652,4.56,4.56,109.63,109.635,6.39,6.39,109.642,109.648,5.02,5.02,0.11697,-0.0,-3.38588,1.00107,1.40108,1.1007
01:45,1,45,22.22,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,0.11697,-0.0,-3.38588,1.00107,1.40108,1.1007
02:00,2,0,22.22,市電供電,109.795,109.807,14.98,15.89,109.646,109.652,4.56,4.56,109.63,109.635,6.39,6.39,109.642,109.648,5.02,5.02,0.14622,-0.0,-4.23233,1.25133,1.75134,1.37587
02:15,2,15,20.0,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,0.14622,-0.0,-4.23233,1.25133,1.75134,1.37587
