Time,Violation_Type,Element,Value,Limit,Message
00:00,Thermal_Overload,Transformer.hometransfmr,8.06,4.17,過載！負載率為 193.5%
00:00,Voltage_Limit,Node_ep_j.1,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:00,Voltage_Limit,Node_ep_k.2,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:00,Voltage_Limit,Node_ep_l.1,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:00,Voltage_Limit,Node_ep_m.2,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:00,Voltage_Limit,Node_l1_g.1,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:00,Voltage_Limit,Node_l1_h.2,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:15,Thermal_Overload,Transformer.hometransfmr,8.06,4.17,過載！負載率為 193.5%
00:15,Voltage_Limit,Node_ep_j.1,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:15,Voltage_Limit,Node_ep_k.2,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:15,Voltage_Limit,Node_ep_l.1,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:15,Voltage_Limit,Node_ep_m.2,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:15,Voltage_Limit,Node_l1_g.1,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:15,Voltage_Limit,Node_l1_h.2,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:30,Thermal_Overload,Transformer.hometransfmr,8.06,4.17,過載！負載率為 193.5%
00:30,Voltage_Limit,Node_ep_j.1,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:30,Voltage_Limit,Node_ep_k.2,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:30,Voltage_Limit,Node_ep_l.1,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:30,Voltage_Limit,Node_ep_m.2,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:30,Voltage_Limit,Node_l1_g.1,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:30,Voltage_Limit,Node_l1_h.2,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:45,Thermal_Overload,Transformer.hometransfmr,8.06,4.17,過載！負載率為 193.5%
00:45,Voltage_Limit,Node_ep_j.1,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:45,Voltage_Limit,Node_ep_k.2,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:45,Voltage_Limit,Node_ep_l.1,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:45,Voltage_Limit,Node_ep_m.2,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:45,Voltage_Limit,Node_l1_g.1,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
00:45,Voltage_Limit,Node_l1_h.2,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
01:00,Thermal_Overload,Transformer.hometransfmr,8.06,4.17,過載！負載率為 193.5%
01:00,Voltage_Limit,Node_ep_j.1,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
01:00,Voltage_Limit,Node_ep_k.2,0.9483 pu (104.3 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
01:00,Voltage_Limit,Node_ep_l.1,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
01:00,Voltage_Limit,Node_ep_m.2,0.944 pu (103.8 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
01:00,Voltage_Limit,Node_l1_g.1,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
01:00,Voltage_Limit,Node_l1_h.2,0.9418 pu (103.6 V),0.95 ~ 1.05 pu,電壓越限！(110V系統異常)
