Time,Hour,Minute,電池_SOC(%),供電模式,線路損失(kW),EP_匯流排電壓_L1(V),EP_匯流排電壓_L2(V),EP_總電流_L1(A),EP_總電流_L2(A),L1_匯流排電壓_L1(V),L1_匯流排電壓_L2(V),L1_總電流_L1(A),L1_總電流_L2(A),L2_匯流排電壓_L1(V),L2_匯流排電壓_L2(V),L2_總電流_L1(A),L2_總電流_L2(A),L3_匯流排電壓_L1(V),L3_匯流排電壓_L2(V),L3_總電流_L1(A),L3_總電流_L2(A),總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,0,0,55.94,市電供電,0.0446,109.103,109.152,29.37,25.7,109.285,109.307,3.3,3.29,109.314,109.337,0.0,0.0,109.314,109.337,0.0,0.0,1.68561,-0.0,1.50532,0.18012,-0.0,-0.0
00:15,0,15,61.87,市電供電,0.0446,109.103,109.152,29.37,25.7,109.285,109.307,3.3,3.29,109.314,109.337,0.0,0.0,109.314,109.337,0.0,0.0,3.37122,-0.0,3.01064,0.36024,-0.0,-0.0
00:30,0,30,59.61,市電供電,0.0027,109.696,109.744,1.45,5.1,109.656,109.678,3.28,3.28,109.685,109.708,0.0,0.0,109.685,109.708,0.0,0.0,3.37194,-0.0,2.83123,0.54036,-0.0,-0.0
00:45,0,45,57.35,市電供電,0.0027,109.696,109.744,1.45,5.1,109.656,109.678,3.28,3.28,109.685,109.708,0.0,0.0,109.685,109.708,0.0,0.0,3.37259,-0.0,2.65177,0.72048,-0.0,-0.0
01:00,1,0,63.29,市電供電,0.0446,109.103,109.152,29.37,25.7,109.285,109.307,3.3,3.29,109.314,109.337,0.0,0.0,109.314,109.337,0.0,0.0,5.05789,-0.0,4.15679,0.90058,-0.0,-0.0
01:15,1,15,61.02,市電供電,0.0027,109.696,109.744,1.45,5.1,109.656,109.678,3.28,3.28,109.685,109.708,0.0,0.0,109.685,109.708,0.0,0.0,5.0586,-0.0,3.97739,1.0807,-0.0,-0.0
01:30,1,30,58.76,市電供電,0.0027,109.696,109.744,1.45,5.1,109.656,109.678,3.28,3.28,109.685,109.708,0.0,0.0,109.685,109.708,0.0,0.0,5.05926,-0.0,3.79792,1.26082,-0.0,-0.0
01:45,1,45,64.7,市電供電,0.0446,109.103,109.152,29.37,25.7,109.285,109.307,3.3,3.29,109.314,109.337,0.0,0.0,109.314,109.337,0.0,0.0,6.74456,-0.0,5.30294,1.44092,-0.0,-0.0
02:00,2,0,62.43,市電供電,0.0027,109.696,109.744,1.45,5.1,109.656,109.678,3.28,3.28,109.685,109.708,0.0,0.0,109.685,109.708,0.0,0.0,6.74527,-0.0,5.12354,1.62104,-0.0,-0.0
02:15,2,15,62.61,市電供電,0.0036,109.532,109.581,7.08,3.42,109.553,109.576,3.29,3.29,109.583,109.605,0.0,0.0,109.583,109.605,0.0,0.0,7.21308,-0.0,5.41122,1.80116,-0.0,-0.0
02:30,2,30,60.35,市電供電,0.0027,109.696,109.744,1.45,5.1,109.656,109.678,3.28,3.28,109.685,109.708,0.0,0.0,109.685,109.708,0.0,0.0,7.21375,-0.0,5.23177,1.98128,-0.0,-0.0
