Time,soc,battery_power_kw,current_a
00:00,55.94,-5.0,22.95
00:15,61.87,-5.0,22.95
00:30,59.92,1.49,6.77
00:45,58.04,1.43,6.51
01:00,56.23,1.37,6.26
01:15,62.16,-5.0,22.94
01:30,60.49,1.27,5.81
01:45,58.86,1.24,5.63
02:00,57.06,1.37,6.22
02:15,55.51,1.18,5.39
02:30,53.97,1.17,5.31
02:45,52.46,1.15,5.26
03:00,50.95,1.15,5.22
03:15,49.44,1.14,5.2
03:30,47.94,1.14,5.19
03:45,46.45,1.14,5.19
04:00,44.95,1.14,5.19
04:15,43.45,1.14,5.2
04:30,41.94,1.15,5.22
04:45,40.42,1.16,5.26
05:00,38.88,1.17,5.32
05:15,37.32,1.19,5.41
05:30,35.72,1.21,5.53
05:45,34.08,1.25,5.68
06:00,33.11,0.74,3.34
06:15,32.57,0.41,1.87
06:30,31.96,0.46,2.11
06:45,31.77,0.14,0.64
07:00,31.99,-0.18,0.82
07:15,32.59,-0.5,2.29
07:30,33.29,-0.59,2.7
07:45,34.33,-0.88,3.98
08:00,36.72,-2.01,9.15
08:15,39.69,-2.5,11.37
08:30,42.72,-2.55,11.59
08:45,46.27,-2.99,13.59
09:00,49.27,-2.53,11.5
09:15,49.27,-0.0,0.0
09:30,49.45,-0.15,0.7
09:45,52.42,-2.5,11.36
10:00,55.86,-2.9,13.21
10:15,59.34,-2.93,13.35
10:30,59.34,-0.0,0.0
10:45,62.88,-2.98,13.56
11:00,66.53,-3.07,13.98
11:15,70.11,-3.01,13.72
11:30,70.11,-0.0,0.0
11:45,70.11,-0.0,0.0
12:00,72.94,-2.39,10.85
12:15,72.94,-0.0,0.0
12:30,74.9,-1.65,7.52
12:45,78.44,-2.98,13.58
13:00,78.44,-0.0,0.0
13:15,82.07,-3.06,13.91
13:30,85.88,-3.2,14.59
13:45,85.88,-0.0,0.0
14:00,85.88,-0.0,0.0
14:15,85.88,-0.0,0.0
14:30,85.88,-0.0,0.0
14:45,88.4,-2.12,9.67
15:00,89.2,-0.67,3.05
15:15,90.92,-1.45,6.6
15:30,90.92,-0.0,0.0
15:45,90.92,-0.0,0.0
16:00,90.92,-0.0,0.0
16:15,90.92,-0.0,0.0
16:30,90.92,-0.0,0.0
16:45,90.82,0.07,0.32
17:00,90.92,-0.08,0.36
17:15,84.34,5.0,22.77
17:30,84.43,-0.07,0.34
17:45,77.85,5.0,22.79
18:00,77.97,-0.11,0.48
18:15,71.39,5.0,22.79
18:30,71.46,-0.05,0.25
18:45,64.88,5.0,22.8
19:00,65.03,-0.12,0.57
19:15,58.45,5.0,22.81
19:30,51.87,5.0,22.8
19:45,51.87,-0.0,0.0
20:00,51.93,-0.05,0.24
20:15,57.87,-5.0,23.09
20:30,63.8,-5.0,23.08
20:45,63.88,-0.07,0.3
21:00,57.3,5.0,22.81
21:15,57.3,-0.0,0.0
21:30,50.73,5.0,22.8
21:45,50.73,-0.0,0.0
22:00,50.73,-0.0,0.0
22:15,50.73,-0.0,0.0
22:30,50.73,-0.0,0.0
22:45,50.73,-0.0,0.0
23:00,50.73,-0.0,0.0
23:15,50.73,-0.0,0.0
23:30,50.73,-0.0,0.0
23:45,50.73,-0.0,0.0
