Time,battery_power_kw,battery_status,battery_energy_change_kwh,battery_energy_kwh,soc_percent,,,,
00:00,1,Charging,1.1875,11.1875,55.9375,  ,1,-5,0
00:15,1,Charging,1.1875,12.375,61.875,,1,-5,0
00:30,1,Charging,1.1875,13.5625,67.8125,,1,-5,0
00:45,-3,Charging,1.1875,14.75,73.75,,-3,-5,0
01:00,1,Charging,1.1875,15.9375,79.6875,,1,-5,0
01:15,1,Charging,1.1875,17.125,85.625,,1,-5,0
01:30,1,Charging,0.875,18,90,,1,-3.684211,0
01:45,-3,Idling,0,18,90,,-3,0,0
02:00,1,Idling,0,18,90,,1,0,0
02:15,1,Idling,0,18,90,,1,0,0
02:30,1,Idling,0,18,90,,1,0,0
02:45,-3,Idling,0,18,90,,-3,0,0
03:00,1,Idling,0,18,90,,1,0,0
03:15,1,Idling,0,18,90,,1,0,0
03:30,1,Idling,0,18,90,,1,0,0
03:45,-3,Idling,0,18,90,,-3,0,0
04:00,1,Idling,0,18,90,,1,0,0
04:15,1,Idling,0,18,90,,1,0,0
04:30,1,Idling,0,18,90,,1,0,0
04:45,-3,Idling,0,18,90,,-3,0,0
05:00,1,Idling,0,18,90,,1,0,0
05:15,1,Idling,0,18,90,,1,0,0
05:30,1,Idling,0,18,90,,1,0,0
05:45,-3,Idling,0,18,90,,-3,0,0
06:00,1,Idling,0,18,90,,1,0,0
06:15,1,Idling,0,18,90,,1,0,0
06:30,1,Idling,0,18,90,,1,0,0
06:45,-3,Idling,0,18,90,,-3,0,0
07:00,1,Idling,0,18,90,,1,0,0
07:15,1,Idling,0,18,90,,1,0,0
07:30,1,Idling,0,18,90,,1,0,0
07:45,-3,Idling,0,18,90,,-3,0,0
08:00,1,Idling,0,18,90,,1,0,0
08:15,1,Idling,0,18,90,,1,0,0
08:30,1,Idling,0,18,90,,1,0,0
08:45,-3,Idling,0,18,90,,-3,0,0
09:00,1,Idling,0,18,90,,1,0,0
09:15,1,Discharging,-0.328,17.672,88.36,,1,1.2464,0
09:30,1,Charging,0.328,18,90,,1,-1.381053,0
09:45,-3,Idling,0,18,90,,-3,0,0
