time,Power_kW,
00:00,3,0
00:15,3,0
00:30,3,0
00:45,3,0
01:00,3,0
01:15,3,0
01:30,3,0
01:45,3,0
02:00,0,0
02:15,0,0
02:30,0,0
02:45,0,0
03:00,0,0
03:15,0,0
03:30,0,0
03:45,0,0
04:00,0,0
04:15,0,0
04:30,0,0
04:45,0,0
05:00,0,0
05:15,0,0
05:30,0,0
05:45,0,0
06:00,-3,165
06:15,-3,489.4
06:30,-3,795.4
06:45,-3,1118.2
07:00,-3,1439
07:15,-3,1762.6
07:30,-3,2053.4
07:45,-3,2334.87
08:00,-3,2627.27
08:15,-3,2915.53
08:30,-3,3164
08:45,-3,3404.27
09:00,-3,3637.4
09:15,-3,3853.6
09:30,-3,1703.33
09:45,-3,4241.27
10:00,-3,4402.87
10:15,-3,4556.47
10:30,3,4669.67
10:45,3,4773.07
11:00,3,4877.6
11:15,3,4934.27
11:30,3,4974.4
11:45,-3,5001.07
12:00,-3,5001.27
12:15,-3,1849.47
12:30,-3,3852.93
12:45,-3,4874.73
13:00,-3,4788.67
13:15,-3,4673.53
13:30,-3,4561.47
13:45,-3,4415
14:00,-3,4254.13
14:15,-3,4074.67
14:30,-3,3871.07
14:45,-3,3659.8
15:00,-3,2375.47
15:15,-3,3192.47
15:30,-3,2926.13
15:45,-3,2647.4
16:00,-3,2356.8
16:15,-3,2064.73
16:30,-3,1785
16:45,-3,1459
17:00,-3,1148
17:15,0,821.73
17:30,0,499.93
17:45,0,171.87
18:00,3,0
18:15,3,0
18:30,3,0
18:45,3,0
19:00,3,0
19:15,3,0
19:30,3,0
19:45,3,0
20:00,3,0
20:15,3,0
20:30,3,0
20:45,3,0
21:00,3,0
21:15,3,0
21:30,3,0
21:45,3,0
22:00,3,0
22:15,3,0
22:30,3,0
22:45,3,0
23:00,3,0
23:15,1,0
23:30,0,0
23:45,0,0
