time,pv_kw,,
00:00,0,0,0
00:15,0,0,0
00:30,0,0,0
00:45,0,0,0
01:00,0,0,0
01:15,0,0,0
01:30,0,0,0
01:45,0,0,0
02:00,0,0,0
02:15,0,0,0
02:30,0,0,0
02:45,0,0,0
03:00,0,0,0
03:15,0,0,0
03:30,0,0,0
03:45,0,0,0
04:00,0,0,0
04:15,0,0,0
04:30,0,0,0
04:45,0,0,0
05:00,0,0,0
05:15,0,0,0
05:30,0,0,0
05:45,0,0,0
06:00,0,165,0
06:15,0,489.4,0
06:30,0,795.4,0
06:45,0,1118.2,0
07:00,0,1439,0
07:15,0,1762.6,0
07:30,0,2053.4,0
07:45,0,2334.87,0
08:00,0,2627.27,0
08:15,0,2915.53,0
08:30,0,3164,0
08:45,0,3404.27,0
09:00,0,3637.4,0
09:15,0,3853.6,0
09:30,0,1703.33,0
09:45,0,4241.27,0
10:00,0,4402.87,0
10:15,0,4556.47,0
10:30,0,4669.67,0
10:45,0,4773.07,0
11:00,0,4877.6,0
11:15,0,4934.27,0
11:30,0,4974.4,0
11:45,0,5001.07,0
12:00,0,5001.27,0
12:15,0,1849.47,0
12:30,0,3852.93,0
12:45,0,4874.73,0
13:00,0,4788.67,0
13:15,0,4673.53,0
13:30,0,4561.47,0
13:45,0,4415,0
14:00,0,4254.13,0
14:15,0,4074.67,0
14:30,0,3871.07,0
14:45,0,3659.8,0
15:00,0,2375.47,0
15:15,0,3192.47,0
15:30,0,2926.13,0
15:45,0,2647.4,0
16:00,0,2356.8,0
16:15,0,2064.73,0
16:30,0,1785,0
16:45,0,1459,0
17:00,0,1148,0
17:15,0,821.73,0
17:30,0,499.93,0
17:45,0,171.87,0
18:00,0,0,0
18:15,0,0,0
18:30,0,0,0
18:45,0,0,0
19:00,0,0,0
19:15,0,0,0
19:30,0,0,0
19:45,0,0,0
20:00,0,0,0
20:15,0,0,0
20:30,0,0,0
20:45,0,0,0
21:00,0,0,0
21:15,0,0,0
21:30,0,0,0
21:45,0,0,0
22:00,0,0,0
22:15,0,0,0
22:30,0,0,0
22:45,0,0,0
23:00,0,0,0
23:15,0,0,0
23:30,0,0,0
23:45,0,0,0
