time,pv_kw,
00:00,0,0
00:15,0,0
00:30,0,0
00:45,0,0
01:00,0,0
01:15,0,0
01:30,0,0
01:45,0,0
02:00,0,0
02:15,0,0
02:30,0,0
02:45,0,0
03:00,0,0
03:15,0,0
03:30,0,0
03:45,0,0
04:00,0,0
04:15,0,0
04:30,0,0
04:45,0,0
05:00,0,0
05:15,0,0
05:30,0,0
05:45,0,0
06:00,165,165
06:15,489.4,489.4
06:30,795.4,795.4
06:45,1118.2,1118.2
07:00,1439,1439
07:15,1762.6,1762.6
07:30,2053.4,2053.4
07:45,2334.87,2334.87
08:00,2627.27,2627.27
08:15,2915.53,2915.53
08:30,3164,3164
08:45,3404.27,3404.27
09:00,3637.4,3637.4
09:15,3853.6,3853.6
09:30,1703.33,1703.33
09:45,4241.27,4241.27
10:00,4402.87,4402.87
10:15,4556.47,4556.47
10:30,4669.67,4669.67
10:45,4773.07,4773.07
11:00,4877.6,4877.6
11:15,4934.27,4934.27
11:30,4974.4,4974.4
11:45,5001.07,5001.07
12:00,5001.27,5001.27
12:15,1849.47,1849.47
12:30,3852.93,3852.93
12:45,4874.73,4874.73
13:00,4788.67,4788.67
13:15,4673.53,4673.53
13:30,4561.47,4561.47
13:45,4415,4415
14:00,4254.13,4254.13
14:15,4074.67,4074.67
14:30,3871.07,3871.07
14:45,3659.8,3659.8
15:00,2375.47,2375.47
15:15,3192.47,3192.47
15:30,2926.13,2926.13
15:45,2647.4,2647.4
16:00,2356.8,2356.8
16:15,2064.73,2064.73
16:30,1785,1785
16:45,1459,1459
17:00,1148,1148
17:15,821.73,821.73
17:30,499.93,499.93
17:45,171.87,171.87
18:00,0,0
18:15,0,0
18:30,0,0
18:45,0,0
19:00,0,0
19:15,0,0
19:30,0,0
19:45,0,0
20:00,0,0
20:15,0,0
20:30,0,0
20:45,0,0
21:00,0,0
21:15,0,0
21:30,0,0
21:45,0,0
22:00,0,0
22:15,0,0
22:30,0,0
22:45,0,0
23:00,0,0
23:15,0,0
23:30,0,0
23:45,0,0
