Time,總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,0.52702,-0.0,-0.34874,0.25028,0.35028,0.27518
00:15,-0.2214,0.0,-1.09719,0.25028,0.35028,0.27518
00:30,0.3056,-0.0,-1.44592,0.50054,0.70055,0.55036
00:45,-0.44282,-0.0,-2.19437,0.50054,0.70055,0.55036
01:00,0.08418,-0.0,-2.54309,0.75081,1.05082,0.82553
01:15,-0.66424,-0.0,-3.29154,0.75081,1.05082,0.82553
01:30,-0.13724,-0.0,-3.64027,1.00107,1.40108,1.10071
01:45,-0.88566,-0.0,-4.38872,1.00107,1.40108,1.10071
02:00,0.39057,-0.0,-3.98826,1.25133,1.75134,1.37587
02:15,0.39057,-0.0,-3.98826,1.25133,1.75134,1.37587
02:30,1.66684,-0.0,-3.58779,1.50159,2.1016,1.65104
02:45,1.66684,-0.0,-3.58779,1.50159,2.1016,1.65104
03:00,2.94311,-0.0,-3.18732,1.75186,2.45187,1.92621
03:15,2.94311,-0.0,-3.18732,1.75186,2.45187,1.92621
03:30,4.21938,-0.0,-2.78685,2.00212,2.80213,2.20138
03:45,4.21938,-0.0,-2.78685,2.00212,2.80213,2.20138
04:00,5.49564,-0.0,-2.38638,2.25238,3.1524,2.47655
04:15,5.49564,-0.0,-2.38638,2.25238,3.1524,2.47655
04:30,6.77191,-0.0,-1.98591,2.50265,3.50266,2.75172
04:45,6.77191,-0.0,-1.98591,2.50265,3.50266,2.75172
05:00,8.04818,-0.0,-1.58544,2.75291,3.85292,3.02689
05:15,8.04818,-0.0,-1.58544,2.75291,3.85292,3.02689
05:30,9.32444,-0.0,-1.18497,3.00317,4.20319,3.30207
05:45,9.32444,-0.0,-1.18497,3.00317,4.20319,3.30207
06:00,11.31142,0.04124,-0.07388,3.25342,4.55343,3.57722
06:15,11.94021,0.1636,0.55489,3.25342,4.55343,3.57722
06:30,13.76905,0.36243,1.50783,3.50368,4.9037,3.85239
06:45,14.2698,0.61244,2.00856,3.50368,4.9037,3.85239
07:00,16.04728,0.86242,2.91017,3.75395,5.25396,4.12756
07:15,16.54803,1.11243,3.4109,3.75395,5.25396,4.12756
07:30,18.32552,1.36241,4.3125,4.00421,5.60422,4.40273
07:45,18.82626,1.61242,4.81324,4.00421,5.60422,4.40273
08:00,20.60375,1.8624,5.71484,4.25447,5.95448,4.6779
08:15,21.1045,2.11241,6.21557,4.25447,5.95448,4.6779
08:30,22.88198,2.36239,7.11718,4.50473,6.30474,4.95307
08:45,23.38273,2.6124,7.61791,4.50473,6.30474,4.95307
09:00,25.16022,2.86238,8.51951,4.75499,6.655,5.22823
09:15,25.66096,3.11239,9.02025,4.75499,6.655,5.22823
09:30,27.43845,3.36237,9.92185,5.00525,7.00526,5.5034
09:45,27.9392,3.61238,10.42258,5.00525,7.00526,5.5034
10:00,29.71668,3.86236,11.32419,5.25551,7.35553,5.77857
10:15,30.21743,4.11237,11.82492,5.25551,7.35553,5.77857
10:30,30.49547,4.36235,11.22725,5.50578,7.70579,6.05374
10:45,29.49831,4.61233,10.23003,5.50578,7.70579,6.05374
11:00,29.77624,4.86234,9.63225,5.75605,8.05606,6.32892
11:15,28.77908,5.11232,8.63502,5.75605,8.05606,6.32892
11:30,29.05701,5.36232,8.03724,6.00631,8.40633,6.60409
11:45,29.5577,5.61231,8.53791,6.00631,8.40633,6.60409
12:00,31.33518,5.86229,9.43951,6.25657,8.75659,6.87926
12:15,31.83593,6.1123,9.94025,6.25657,8.75659,6.87926
