Time,Hour,Minute,ep_fridge_an,ep_washer_an,ep_dryer_bn,boosterpump_abn,ep_pump,l2_bathroom1_an,l3_socket1_an,l1_airc_abn,l2_airc1_abn,l2_airc2_abn,l3_airc_abn,ep_1f_lighting1_an,ep_1f_lighting2_bn,ep_2f_lighting1_an,ep_2f_lighting2_bn,ep_3f_lighting1_an,ep_3f_lighting2_bn,l1_lighting1_an,l1_lighting2_bn,l2_lighting1_an,l2_lighting2_bn,l3_lighting1_an,l3_lighting2_bn,ep_1f_wifi_an,ep_1f_socket_bn,ep_kitchen_bn,ep_2f_socket1_an,ep_2f_socket2_bn,l1_socket1_an,l1_socket2_bn,l1_socket3_an,l1_socket4_bn,l1_socket5_an,l1_socket6_bn,l1_kitchen_abn,l2_socket1_an,l2_socket2_bn,l2_socket3_an,l2_socket4_bn,l2_socket5_an,l2_socket6_bn,l2_socket7_an,l2_socket8_bn,l2_bathroom2_bn,l3_socket2_bn,l3_socket3_an,l3_socket4_bn,l3_socket5_an,l3_socket6_bn,l3_socket7_an,l3_socket8_bn
00:00,0,0,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:01,0,1,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:02,0,2,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:03,0,3,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:04,0,4,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:05,0,5,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:06,0,6,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:07,0,7,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:08,0,8,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:09,0,9,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:10,0,10,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:11,0,11,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:12,0,12,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:13,0,13,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:14,0,14,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:15,0,15,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:16,0,16,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:17,0,17,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:18,0,18,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:19,0,19,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:20,0,20,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:21,0,21,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:22,0,22,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:23,0,23,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:24,0,24,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:25,0,25,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:26,0,26,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:27,0,27,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
00:28,0,28,100,100,100,100,100,300,400,200,300,300,400,100,100,100,100,100,100,200,200,300,300,300,400,100,100,100,100,100,200,200,200,200,200,200,200,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400
