iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
0,0.9000000000,103.3312599462,103.3312599462,117.8235632483,8.0684213244,28.1372750932
1,0.9000000000,102.5374299651,102.5374299651,111.0127927008,4.6295277291,27.4154551972
2,0.8989979960,101.6272726639,101.6272726639,104.8498208368,2.3138799539,27.4229184372
3,0.8979959920,101.1512978328,101.1512978328,102.4937906821,1.6801969628,24.6927570215
4,0.8969939880,100.9893034585,100.9893034585,101.5868589907,1.1288025090,20.1335049399
5,0.8959919840,100.8819053172,100.8819053172,101.1133852481,0.2123676253,16.3755254231
6,0.8949899800,100.7663665384,100.7663665384,100.9533309605,0.0994264537,13.2646442528
7,0.8939879760,100.7010846801,100.7010846801,100.8625307723,0.1006938007,11.4626974840
8,0.8929859719,100.7010846801,100.7010846801,100.7932014826,0.0862140809,9.0576144112
9,0.8919839679,100.7010846801,100.7010846801,100.7982534138,0.0735677693,6.8222379171
10,0.8909819639,100.7010846801,100.7010846801,100.8090891246,0.0764908665,5.6390185253
11,0.8899799599,100.7010846801,100.7010846801,100.7962952841,0.0784998627,6.5450192008
12,0.8889779559,100.7010846801,100.7010846801,100.7635123825,0.0744701830,6.2818432545
13,0.8879759519,100.7010846801,100.7010846801,100.7664795909,0.0624846493,6.2568906567
14,0.8869739479,100.7010846801,100.7010846801,100.7831054209,0.0762720009,6.0440725380
15,0.8859719439,100.7010846801,100.7010846801,100.7615501152,0.0611425345,5.5861420174
16,0.8849699399,100.7010846801,100.7010846801,100.7485750375,0.0569764910,5.8238446293
17,0.8839679359,100.7010846801,100.7010846801,100.7498749814,0.0644849689,5.5893786434
18,0.8829659319,100.7010846801,100.7010846801,100.7626165814,0.0667203764,5.5977843626
19,0.8819639279,100.7010846801,100.7010846801,100.7640226580,0.0704996860,5.2066019710
20,0.8809619238,100.7010846801,100.7010846801,100.7533163361,0.0600901132,5.3028374133
21,0.8799599198,100.7010846801,100.7010846801,100.7519080087,0.0601672059,5.4314822080
22,0.8789579158,100.7010846801,100.7010846801,100.7587556152,0.0643469052,5.4088144722
23,0.8779559118,100.7010846801,100.7010846801,100.7598863787,0.0661967436,5.7272519678
24,0.8769539078,100.7010846801,100.7010846801,100.7617978004,0.0594254006,5.7553447863
25,0.8759519038,100.7010846801,100.7010846801,100.7478481054,0.0659372960,5.5095156398
26,0.8749498998,100.7010846801,100.7010846801,100.7639564397,0.0733205561,5.3535286224
27,0.8739478958,100.7010846801,100.7010846801,100.7620372211,0.0718076730,5.5369714869
28,0.8729458918,100.7010846801,100.7010846801,100.7590565837,0.0619249069,5.5260845156
29,0.8719438878,100.7010846801,100.7010846801,100.7549820040,0.0627202528,5.3245622827
30,0.8709418838,100.7010846801,100.7010846801,100.7444409878,0.0582890116,5.3736336320
31,0.8699398798,100.7010846801,100.7010846801,100.7665175916,0.0689052402,5.3411038843
32,0.8689378758,100.7010846801,100.7010846801,100.7616248334,0.0671375138,5.1596006768
33,0.8679358717,100.7010846801,100.7010846801,100.7532021946,0.0641320364,5.2208985910
34,0.8669338677,100.7010846801,100.7010846801,100.7393882896,0.0524010174,5.0714958708
35,0.8659318637,100.7010846801,100.7010846801,100.7521671179,0.0648404038,5.0718770869
